         553099058 function calls (547131983 primitive calls) in 919.988 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 18432258    1.841    0.000    1.841    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\path.py:254(simplify_threshold)
 18835661    1.759    0.000    1.759    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\path.py:273(should_simplify)
    39882    1.727    0.000    1.727    0.000 {method 'astype' of 'numpy.ndarray' objects}
    28802    1.690    0.000   45.910    0.002 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\ticker.py:1733(_raw_ticks)
   403394    1.670    0.000    1.670    0.000 {method 'round' of 'numpy.generic' objects}
  1349240    1.625    0.000   12.161    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\transforms.py:1808(__init__)
    86412    1.544    0.000   22.428    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\patches.py:523(draw)
   351136    1.542    0.000   15.305    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\markers.py:199(_recache)
   154898    1.527    0.000    3.765    0.000 C:\Program Files\Anaconda3\lib\site-packages\numpy\ma\core.py:2913(__array_finalize__)
   158422    1.512    0.000    3.578    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\transforms.py:694(translated)
   688314    1.436    0.000    1.436    0.000 {method 'copy' of 'numpy.ndarray' objects}
   175206    1.426    0.000    2.124    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\artist.py:95(__init__)
    18003    1.406    0.000    1.406    0.000 {method 'clip' of 'numpy.ndarray' objects}
    28804    1.290    0.000   69.293    0.002 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\axis.py:961(_update_ticks)
453747/453739    1.284    0.000   18.491    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\transforms.py:1315(transform)
   331250    1.281    0.000    6.571    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\text.py:329(_get_layout)
     7937    1.276    0.000    1.276    0.000 {method 'write' of '_io.BufferedWriter' objects}
1901769/1073769    1.249    0.000    1.544    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\transforms.py:2353(_get_is_affine)
  1385697    1.234    0.000    1.764    0.000 C:\Program Files\Anaconda3\lib\_weakrefset.py:26(__exit__)
   781355    1.232    0.000    2.832    0.000 C:\Program Files\Anaconda3\lib\weakref.py:165(__setitem__)
   590791    1.231    0.000    1.231    0.000 {built-in method matplotlib._path.affine_transform}
    43215    1.227    0.000    6.158    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\transforms.py:723(union)
   158492    1.225    0.000   17.409    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\text.py:932(get_window_extent)
   432132    1.161    0.000   20.259    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\transforms.py:1411(transform_point)
   310119    1.100    0.000    4.527    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\transforms.py:781(__init__)
   951492    1.099    0.000    4.779    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\colors.py:128(to_rgba)
  1614706    1.086    0.000    1.485    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\cbook.py:687(is_string_like)
  1400082    1.040    0.000    1.324    0.000 C:\Program Files\Anaconda3\lib\site-packages\six.py:577(itervalues)
   196872    1.036    0.000    1.456    0.000 C:\Program Files\Anaconda3\lib\site-packages\numpy\lib\twodim_base.py:139(eye)
   331250    0.996    0.000    4.820    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\text.py:901(get_prop_tup)
1704114/1025950    0.981    0.000    3.776    0.000 {built-in method builtins.hash}
   951702    0.974    0.000    3.676    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\colors.py:107(_is_nth_color)
   513600    0.972    0.000    3.929    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\transforms.py:163(set_children)
   180144    0.959    0.000    1.649    0.000 C:\Program Files\Anaconda3\lib\site-packages\numpy\ma\core.py:2887(_update_from)
   489742    0.943    0.000    1.924    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\text.py:887(get_unitless_position)
      180    0.934    0.005    0.934    0.005 {method 'acquire' of '_thread.lock' objects}
