#X,#CH1,#CH2
#Second,#Volt,#Volt
-1.90E-04,1.40E-02,2.00E-02
-1.89E-04,6.00E-03,2.00E-02
-1.89E-04,-4.00E-03,2.00E-02
-1.88E-04,-1.40E-02,2.00E-02
-1.88E-04,-2.00E-02,2.00E-02
-1.88E-04,-2.60E-02,2.00E-02
-1.87E-04,-3.60E-02,2.00E-02
-1.87E-04,-4.00E-02,2.00E-02
-1.86E-04,-5.00E-02,2.00E-02
-1.86E-04,-5.40E-02,2.00E-02
-1.86E-04,-5.80E-02,2.00E-02
-1.85E-04,-6.80E-02,2.00E-02
-1.85E-04,-6.80E-02,2.00E-02
-1.84E-04,-7.00E-02,2.00E-02
-1.84E-04,-7.20E-02,0.00E+00
-1.84E-04,-7.99E-02,2.00E-02
-1.83E-04,-8.19E-02,2.00E-02
-1.83E-04,-8.40E-02,2.00E-02
-1.82E-04,-8.60E-02,2.00E-02
-1.82E-04,-8.79E-02,2.00E-02
-1.82E-04,-8.79E-02,2.00E-02
-1.81E-04,-7.59E-02,2.00E-02
-1.81E-04,-7.40E-02,2.00E-02
-1.80E-04,-8.40E-02,2.00E-02
-1.80E-04,-8.19E-02,2.00E-02
-1.80E-04,-7.40E-02,2.00E-02
-1.79E-04,-6.59E-02,2.00E-02
-1.79E-04,-6.59E-02,2.00E-02
-1.78E-04,-6.00E-02,2.00E-02
-1.78E-04,-5.20E-02,2.00E-02
-1.78E-04,-4.80E-02,2.00E-02
-1.77E-04,-4.60E-02,2.00E-02
-1.77E-04,-4.00E-02,2.00E-02
-1.76E-04,-3.00E-02,2.00E-02
-1.76E-04,-2.40E-02,2.00E-02
-1.76E-04,-2.60E-02,2.00E-02
-1.75E-04,-1.40E-02,2.00E-02
-1.75E-04,2.00E-03,2.00E-02
-1.74E-04,8.00E-03,2.00E-02
-1.74E-04,1.20E-02,2.00E-02
-1.74E-04,1.80E-02,2.00E-02
-1.73E-04,2.20E-02,2.00E-02
-1.73E-04,2.60E-02,2.00E-02
-1.72E-04,3.00E-02,2.00E-02
-1.72E-04,3.20E-02,2.00E-02
-1.72E-04,3.80E-02,2.00E-02
-1.71E-04,4.80E-02,0.00E+00
-1.71E-04,4.40E-02,2.00E-02
-1.70E-04,4.40E-02,2.00E-02
-1.70E-04,5.40E-02,2.00E-02
-1.70E-04,5.80E-02,2.00E-02
-1.69E-04,6.00E-02,2.00E-02
-1.69E-04,5.80E-02,2.00E-02
-1.68E-04,6.20E-02,2.00E-02
-1.68E-04,6.00E-02,2.00E-02
-1.68E-04,6.20E-02,2.00E-02
-1.67E-04,5.80E-02,2.00E-02
-1.67E-04,6.00E-02,2.00E-02
-1.66E-04,6.20E-02,2.00E-02
-1.66E-04,4.80E-02,0.00E+00
-1.66E-04,4.80E-02,2.00E-02
