#X,#CH2
#Second,#Volt
-1.87E-04,-4.64E-01
-1.85E-04,-4.64E-01
-1.83E-04,-4.72E-01
-1.81E-04,-4.80E-01
-1.79E-04,-4.88E-01
-1.77E-04,-4.88E-01
-1.75E-04,-4.88E-01
-1.73E-04,-4.88E-01
-1.71E-04,-4.96E-01
-1.69E-04,-4.96E-01
-1.67E-04,-4.96E-01
-1.65E-04,-4.96E-01
-1.63E-04,-5.04E-01
-1.61E-04,-5.04E-01
-1.59E-04,-5.04E-01
-1.57E-04,-5.04E-01
-1.55E-04,-5.04E-01
-1.53E-04,-5.04E-01
-1.51E-04,-5.04E-01
-1.49E-04,-4.96E-01
-1.47E-04,-4.96E-01
-1.45E-04,-4.96E-01
-1.43E-04,-4.96E-01
-1.41E-04,-4.88E-01
-1.39E-04,-4.88E-01
-1.37E-04,-4.88E-01
-1.35E-04,-4.88E-01
-1.33E-04,-4.80E-01
-1.31E-04,-4.80E-01
-1.29E-04,-4.72E-01
-1.27E-04,-4.72E-01
-1.25E-04,-4.64E-01
-1.23E-04,-4.56E-01
-1.21E-04,-4.48E-01
-1.19E-04,-4.48E-01
-1.17E-04,-4.40E-01
-1.15E-04,-4.40E-01
-1.13E-04,-4.32E-01
-1.11E-04,-4.24E-01
-1.09E-04,-4.16E-01
-1.07E-04,-4.08E-01
-1.05E-04,-4.00E-01
-1.03E-04,-4.00E-01
-1.01E-04,-3.84E-01
-9.92E-05,-3.76E-01
-9.72E-05,-3.68E-01
-9.52E-05,-3.60E-01
-9.32E-05,-3.52E-01
-9.12E-05,-3.44E-01
-8.92E-05,-3.28E-01
-8.72E-05,-3.20E-01
-8.52E-05,-3.12E-01
-8.32E-05,-3.04E-01
-8.12E-05,-2.88E-01
-7.92E-05,-2.80E-01
-7.72E-05,-2.64E-01
-7.52E-05,-2.56E-01
-7.32E-05,-2.48E-01
-7.12E-05,-2.40E-01
-6.92E-05,-2.24E-01
-6.72E-05,-2.16E-01
-6.52E-05,-2.00E-01
-6.32E-05,-1.92E-01
-6.12E-05,-1.76E-01
-5.92E-05,-1.68E-01
-5.72E-05,-1.52E-01
-5.52E-05,-1.44E-01
-5.32E-05,-1.28E-01
-5.12E-05,-1.20E-01
-4.92E-05,-1.04E-01
-4.72E-05,-9.60E-02
-4.52E-05,-7.99E-02
-4.32E-05,-7.20E-02
-4.12E-05,-5.60E-02
-3.92E-05,-4.80E-02
-3.72E-05,-3.20E-02
-3.52E-05,-2.40E-02
-3.32E-05,-8.00E-03
-3.12E-05,8.00E-03
-2.92E-05,2.40E-02
-2.72E-05,3.20E-02
-2.52E-05,4.80E-02
-2.32E-05,5.60E-02
-2.12E-05,7.20E-02
-1.92E-05,7.99E-02
-1.72E-05,9.60E-02
-1.52E-05,1.04E-01
-1.32E-05,1.20E-01
-1.12E-05,1.28E-01
-9.20E-06,1.44E-01
-7.20E-06,1.52E-01
-5.20E-06,1.68E-01
-3.20E-06,1.76E-01
-1.20E-06,1.84E-01
8.00E-07,1.92E-01
2.80E-06,2.00E-01
4.80E-06,2.16E-01
6.80E-06,2.24E-01
8.79E-06,2.40E-01
1.08E-05,2.48E-01
1.28E-05,2.56E-01
1.48E-05,2.64E-01
1.68E-05,2.80E-01
1.88E-05,2.88E-01
2.08E-05,3.04E-01
2.28E-05,3.12E-01
2.48E-05,3.20E-01
2.68E-05,3.28E-01
2.88E-05,3.36E-01
3.08E-05,3.44E-01
3.28E-05,3.60E-01
3.48E-05,3.68E-01
3.68E-05,3.76E-01
3.88E-05,3.84E-01
4.08E-05,3.92E-01
4.28E-05,4.00E-01
4.48E-05,4.08E-01
4.68E-05,4.16E-01
4.88E-05,4.24E-01
5.08E-05,4.24E-01
5.28E-05,4.32E-01
5.48E-05,4.40E-01
5.68E-05,4.48E-01
5.88E-05,4.56E-01
6.08E-05,4.64E-01
6.28E-05,4.64E-01
6.48E-05,4.72E-01
6.68E-05,4.72E-01
6.88E-05,4.80E-01
7.08E-05,4.80E-01
7.28E-05,4.88E-01
7.48E-05,4.88E-01
7.68E-05,4.96E-01
7.88E-05,4.96E-01
8.08E-05,4.96E-01
8.28E-05,4.96E-01
8.48E-05,5.04E-01
8.68E-05,5.04E-01
8.88E-05,5.04E-01
9.08E-05,5.04E-01
9.28E-05,5.04E-01
