#X,#CH2
#Second,#Volt
-1.77E-05,3.28E-01
-1.76E-05,2.88E-01
-1.75E-05,2.48E-01
-1.74E-05,2.08E-01
-1.73E-05,1.60E-01
-1.72E-05,1.20E-01
-1.71E-05,7.20E-02
-1.70E-05,2.40E-02
-1.69E-05,-2.40E-02
-1.68E-05,-7.20E-02
-1.67E-05,-1.20E-01
-1.66E-05,-1.68E-01
-1.65E-05,-2.08E-01
-1.64E-05,-2.48E-01
-1.63E-05,-2.88E-01
-1.62E-05,-3.28E-01
-1.61E-05,-3.60E-01
-1.60E-05,-3.92E-01
-1.59E-05,-4.24E-01
-1.58E-05,-4.40E-01
-1.57E-05,-4.64E-01
-1.56E-05,-4.80E-01
-1.55E-05,-4.88E-01
-1.54E-05,-4.96E-01
-1.53E-05,-5.04E-01
-1.52E-05,-5.04E-01
-1.51E-05,-4.96E-01
-1.50E-05,-4.88E-01
-1.49E-05,-4.72E-01
-1.48E-05,-4.48E-01
-1.47E-05,-4.24E-01
-1.46E-05,-4.00E-01
-1.45E-05,-3.68E-01
-1.44E-05,-3.36E-01
-1.43E-05,-2.96E-01
-1.42E-05,-2.56E-01
-1.41E-05,-2.16E-01
-1.40E-05,-1.68E-01
-1.39E-05,-1.28E-01
-1.38E-05,-7.99E-02
-1.37E-05,-3.20E-02
-1.36E-05,1.60E-02
-1.35E-05,6.40E-02
-1.34E-05,1.12E-01
-1.33E-05,1.52E-01
-1.32E-05,2.00E-01
-1.31E-05,2.40E-01
-1.30E-05,2.80E-01
-1.29E-05,3.20E-01
-1.28E-05,3.60E-01
-1.27E-05,3.92E-01
-1.26E-05,4.24E-01
-1.25E-05,4.48E-01
-1.24E-05,4.64E-01
-1.23E-05,4.80E-01
-1.22E-05,4.96E-01
-1.21E-05,5.04E-01
-1.20E-05,5.04E-01
-1.19E-05,5.12E-01
-1.18E-05,5.04E-01
-1.17E-05,4.96E-01
-1.16E-05,4.80E-01
-1.15E-05,4.64E-01
-1.14E-05,4.40E-01
-1.13E-05,4.16E-01
-1.12E-05,3.84E-01
-1.11E-05,3.52E-01
-1.10E-05,3.12E-01
-1.09E-05,2.80E-01
-1.08E-05,2.32E-01
-1.07E-05,1.92E-01
-1.06E-05,1.52E-01
-1.05E-05,1.04E-01
-1.04E-05,5.60E-02
-1.03E-05,8.00E-03
