#X,#CH1
#Second,#Volt
-8.79E-06,-1.60E-02
-8.69E-06,-8.00E-03
-8.60E-06,-1.60E-02
-8.50E-06,-8.00E-03
-8.39E-06,-8.00E-03
-8.29E-06,-8.00E-03
-8.19E-06,-8.00E-03
-8.09E-06,0.00E+00
-7.99E-06,0.00E+00
-7.90E-06,0.00E+00
-7.79E-06,-8.00E-03
-7.69E-06,0.00E+00
-7.60E-06,0.00E+00
-7.50E-06,0.00E+00
-7.40E-06,0.00E+00
-7.30E-06,0.00E+00
-7.20E-06,8.00E-03
-7.10E-06,8.00E-03
-7.00E-06,0.00E+00
-6.90E-06,8.00E-03
-6.80E-06,8.00E-03
-6.70E-06,8.00E-03
-6.60E-06,8.00E-03
-6.50E-06,8.00E-03
-6.40E-06,8.00E-03
-6.30E-06,8.00E-03
-6.20E-06,8.00E-03
-6.10E-06,8.00E-03
-6.00E-06,8.00E-03
-5.90E-06,8.00E-03
-5.80E-06,8.00E-03
-5.70E-06,8.00E-03
-5.60E-06,8.00E-03
-5.50E-06,8.00E-03
-5.40E-06,8.00E-03
-5.30E-06,8.00E-03
-5.20E-06,0.00E+00
-5.10E-06,8.00E-03
-5.00E-06,8.00E-03
-4.90E-06,8.00E-03
-4.80E-06,8.00E-03
-4.70E-06,8.00E-03
-4.60E-06,0.00E+00
-4.50E-06,8.00E-03
-4.40E-06,8.00E-03
-4.30E-06,0.00E+00
-4.20E-06,0.00E+00
-4.10E-06,0.00E+00
-4.00E-06,0.00E+00
-3.90E-06,0.00E+00
-3.80E-06,0.00E+00
-3.70E-06,0.00E+00
-3.60E-06,0.00E+00
-3.50E-06,0.00E+00
-3.40E-06,-8.00E-03
-3.30E-06,-8.00E-03
-3.20E-06,-8.00E-03
-3.10E-06,-1.60E-02
-3.00E-06,-1.60E-02
-2.90E-06,-8.00E-03
-2.80E-06,-1.60E-02
-2.70E-06,-8.00E-03
-2.60E-06,-1.60E-02
-2.50E-06,-1.60E-02
-2.40E-06,-1.60E-02
-2.30E-06,-2.40E-02
-2.20E-06,-1.60E-02
-2.10E-06,-1.60E-02
-2.00E-06,-2.40E-02
-1.90E-06,-1.60E-02
-1.80E-06,-2.40E-02
-1.70E-06,-2.40E-02
-1.60E-06,-2.40E-02
-1.50E-06,-3.20E-02
-1.40E-06,-2.40E-02
-1.30E-06,-2.40E-02
-1.20E-06,-2.40E-02
-1.10E-06,-2.40E-02
-1.00E-06,-3.20E-02
-9.00E-07,-2.40E-02
-8.00E-07,-2.40E-02
-7.00E-07,-3.20E-02
-6.00E-07,-3.20E-02
-5.00E-07,-3.20E-02
-4.00E-07,-3.20E-02
-3.00E-07,-3.20E-02
-2.00E-07,-3.20E-02
-1.00E-07,-2.40E-02
4.75E-14,-3.20E-02
1.00E-07,-2.40E-02
2.00E-07,-2.40E-02
3.00E-07,-3.20E-02
4.00E-07,-2.40E-02
5.00E-07,-2.40E-02
6.00E-07,-3.20E-02
7.00E-07,-2.40E-02
8.00E-07,-2.40E-02
9.00E-07,-2.40E-02
1.00E-06,-1.60E-02
1.10E-06,-2.40E-02
1.20E-06,-1.60E-02
1.30E-06,-1.60E-02
1.40E-06,-1.60E-02
1.50E-06,-1.60E-02
1.60E-06,-1.60E-02
1.70E-06,-1.60E-02
1.80E-06,-8.00E-03
1.90E-06,-1.60E-02
2.00E-06,-8.00E-03
2.10E-06,-8.00E-03
2.20E-06,-8.00E-03
2.30E-06,-8.00E-03
2.40E-06,-8.00E-03
2.50E-06,-8.00E-03
2.60E-06,-8.00E-03
2.70E-06,-8.00E-03
2.80E-06,0.00E+00
2.90E-06,0.00E+00
3.00E-06,0.00E+00
3.10E-06,0.00E+00
3.20E-06,0.00E+00
3.30E-06,0.00E+00
3.40E-06,0.00E+00
3.50E-06,8.00E-03
3.60E-06,8.00E-03
3.70E-06,8.00E-03
3.80E-06,8.00E-03
3.90E-06,8.00E-03
4.00E-06,8.00E-03
4.10E-06,8.00E-03
4.20E-06,8.00E-03
4.30E-06,8.00E-03
4.40E-06,8.00E-03
4.50E-06,8.00E-03
4.60E-06,8.00E-03
4.70E-06,8.00E-03
4.80E-06,8.00E-03
4.90E-06,8.00E-03
5.00E-06,8.00E-03
5.10E-06,8.00E-03
5.20E-06,8.00E-03
5.30E-06,8.00E-03
5.40E-06,8.00E-03
5.50E-06,8.00E-03
5.60E-06,8.00E-03
5.70E-06,8.00E-03
5.80E-06,8.00E-03
5.90E-06,8.00E-03
6.00E-06,8.00E-03
6.10E-06,0.00E+00
6.20E-06,0.00E+00
6.30E-06,8.00E-03
6.40E-06,0.00E+00
6.50E-06,8.00E-03
6.60E-06,0.00E+00
6.70E-06,0.00E+00
6.80E-06,0.00E+00
6.90E-06,0.00E+00
7.00E-06,0.00E+00
7.10E-06,-8.00E-03
7.20E-06,-8.00E-03
7.30E-06,-8.00E-03
7.40E-06,-8.00E-03
7.50E-06,-8.00E-03
7.60E-06,-8.00E-03
7.69E-06,-1.60E-02
7.79E-06,-1.60E-02
7.89E-06,-8.00E-03
7.99E-06,-1.60E-02
8.09E-06,-1.60E-02
8.19E-06,-1.60E-02
8.29E-06,-1.60E-02
8.39E-06,-1.60E-02
8.49E-06,-2.40E-02
8.59E-06,-1.60E-02
8.69E-06,-2.40E-02
8.79E-06,-2.40E-02
8.89E-06,-2.40E-02
8.99E-06,-2.40E-02
9.09E-06,-2.40E-02
9.19E-06,-2.40E-02
9.29E-06,-2.40E-02
9.39E-06,-2.40E-02
9.49E-06,-2.40E-02
9.59E-06,-3.20E-02
9.69E-06,-2.40E-02
9.79E-06,-3.20E-02
9.89E-06,-3.20E-02
9.99E-06,-2.40E-02
1.01E-05,-3.20E-02
1.02E-05,-2.40E-02
1.03E-05,-3.20E-02
1.04E-05,-3.20E-02
1.05E-05,-3.20E-02
1.06E-05,-2.40E-02
1.07E-05,-2.40E-02
1.08E-05,-2.40E-02
1.09E-05,-3.20E-02
1.10E-05,-2.40E-02
1.11E-05,-2.40E-02
1.12E-05,-2.40E-02
1.13E-05,-2.40E-02
1.14E-05,-2.40E-02
1.15E-05,-1.60E-02
1.16E-05,-2.40E-02
1.17E-05,-2.40E-02
1.18E-05,-2.40E-02
1.19E-05,-2.40E-02
1.20E-05,-2.40E-02
1.21E-05,-1.60E-02
1.22E-05,-1.60E-02
1.23E-05,-1.60E-02
1.24E-05,-1.60E-02
1.25E-05,-1.60E-02
1.26E-05,-1.60E-02
1.27E-05,-1.60E-02
1.28E-05,-1.60E-02
1.29E-05,-8.00E-03
1.30E-05,-8.00E-03
1.31E-05,-8.00E-03
1.32E-05,-8.00E-03
1.33E-05,-8.00E-03
1.34E-05,0.00E+00
1.35E-05,0.00E+00
1.36E-05,0.00E+00
1.37E-05,0.00E+00
1.38E-05,0.00E+00
1.39E-05,0.00E+00
1.40E-05,0.00E+00
1.41E-05,0.00E+00
1.42E-05,0.00E+00
1.43E-05,0.00E+00
1.44E-05,8.00E-03
1.45E-05,8.00E-03
1.46E-05,0.00E+00
1.47E-05,8.00E-03
1.48E-05,8.00E-03
1.49E-05,8.00E-03
1.50E-05,8.00E-03
1.51E-05,8.00E-03
1.52E-05,8.00E-03
1.53E-05,8.00E-03
1.54E-05,8.00E-03
1.55E-05,8.00E-03
1.56E-05,8.00E-03
