Name: Ryan
Sample: PST441 H3
Measuring Station: King Louis
Start Date/Time: 6/25/2019 / 11:14:57 AM
Actual time: 6/25/2019 / 11:14:57 AM

Comment:
PST441 H3
8-Terminal Hall Bar
June 24th, 2019
Cool-down measurement

Pushing current from 6 to 12
Measuring Rxx from 8 to E in Keysight 1

Set frequency to 37.37 Hz
Giving amplitude of 100mV through 1224:12 divider
Reference resistance of 996.51 Ohms
Measuring ref. resistance in Keysight 2

Cooling overnight from 200K

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 3.700000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------				
Zeit (Computer) []	None () []	Voltage (Keysight34460A 3) [V]	Rxx (Ohm)	Gxx (Mho)
				
0.00000E+0	0.00000E+0	NaN	NaN	NaN
1.00000E+0	0.00000E+0	NaN	NaN	NaN
2.00000E+0	0.00000E+0	NaN	NaN	NaN
3.00000E+0	0.00000E+0	NaN	NaN	NaN
4.00000E+0	0.00000E+0	NaN	NaN	NaN
5.00000E+0	0.00000E+0	NaN	NaN	NaN
6.00000E+0	0.00000E+0	NaN	NaN	NaN
7.00000E+0	0.00000E+0	NaN	NaN	NaN
8.00000E+0	0.00000E+0	NaN	NaN	NaN
9.00000E+0	0.00000E+0	NaN	NaN	NaN
1.00000E+1	0.00000E+0	NaN	NaN	NaN
1.10000E+1	0.00000E+0	NaN	NaN	NaN
1.20000E+1	0.00000E+0	NaN	NaN	NaN
1.30000E+1	0.00000E+0	NaN	NaN	NaN
1.40000E+1	0.00000E+0	NaN	NaN	NaN
1.50000E+1	0.00000E+0	NaN	NaN	NaN
1.60000E+1	0.00000E+0	NaN	NaN	NaN
1.70000E+1	0.00000E+0	NaN	NaN	NaN
1.80000E+1	0.00000E+0	NaN	NaN	NaN
1.90000E+1	0.00000E+0	NaN	NaN	NaN
2.00000E+1	0.00000E+0	NaN	NaN	NaN
2.10000E+1	0.00000E+0	NaN	NaN	NaN
2.20000E+1	0.00000E+0	NaN	NaN	NaN
2.30000E+1	0.00000E+0	NaN	NaN	NaN
2.40000E+1	0.00000E+0	NaN	NaN	NaN
2.50000E+1	0.00000E+0	NaN	NaN	NaN
2.60000E+1	0.00000E+0	NaN	NaN	NaN
2.70000E+1	0.00000E+0	NaN	NaN	NaN
2.80000E+1	0.00000E+0	NaN	NaN	NaN
2.90000E+1	0.00000E+0	NaN	NaN	NaN
3.00000E+1	0.00000E+0	NaN	NaN	NaN
3.10000E+1	0.00000E+0	NaN	NaN	NaN
3.20000E+1	0.00000E+0	NaN	NaN	NaN
3.30000E+1	0.00000E+0	NaN	NaN	NaN
3.40000E+1	0.00000E+0	NaN	NaN	NaN
3.50000E+1	0.00000E+0	NaN	NaN	NaN
3.60000E+1	0.00000E+0	NaN	NaN	NaN
3.70000E+1	0.00000E+0	NaN	NaN	NaN
3.80000E+1	0.00000E+0	NaN	NaN	NaN
3.90000E+1	0.00000E+0	NaN	NaN	NaN
4.00000E+1	0.00000E+0	NaN	NaN	NaN
4.10000E+1	0.00000E+0	NaN	NaN	NaN
4.20000E+1	0.00000E+0	NaN	NaN	NaN
4.30000E+1	0.00000E+0	NaN	NaN	NaN
4.40000E+1	0.00000E+0	NaN	NaN	NaN
4.50000E+1	0.00000E+0	NaN	NaN	NaN
4.60000E+1	0.00000E+0	NaN	NaN	NaN
4.70000E+1	0.00000E+0	NaN	NaN	NaN
4.80000E+1	0.00000E+0	NaN	NaN	NaN
4.90000E+1	0.00000E+0	NaN	NaN	NaN
5.00000E+1	0.00000E+0	NaN	NaN	NaN
5.10000E+1	0.00000E+0	NaN	NaN	NaN
5.20000E+1	0.00000E+0	NaN	NaN	NaN
5.30000E+1	0.00000E+0	NaN	NaN	NaN
5.40000E+1	0.00000E+0	NaN	NaN	NaN
5.50000E+1	0.00000E+0	NaN	NaN	NaN
5.60000E+1	0.00000E+0	NaN	NaN	NaN
5.70000E+1	0.00000E+0	NaN	NaN	NaN
5.80000E+1	0.00000E+0	NaN	NaN	NaN
5.90000E+1	0.00000E+0	NaN	NaN	NaN
6.00000E+1	0.00000E+0	NaN	NaN	NaN
6.10000E+1	0.00000E+0	NaN	NaN	NaN
6.20000E+1	0.00000E+0	NaN	NaN	NaN
6.30000E+1	0.00000E+0	NaN	NaN	NaN
6.40000E+1	0.00000E+0	NaN	NaN	NaN
6.50000E+1	0.00000E+0	NaN	NaN	NaN
6.60000E+1	0.00000E+0	NaN	NaN	NaN
6.70000E+1	0.00000E+0	NaN	NaN	NaN
6.80000E+1	0.00000E+0	NaN	NaN	NaN
6.90000E+1	0.00000E+0	NaN	NaN	NaN
7.00000E+1	0.00000E+0	NaN	NaN	NaN
7.10000E+1	0.00000E+0	NaN	NaN	NaN
7.20000E+1	0.00000E+0	NaN	NaN	NaN
7.30000E+1	0.00000E+0	NaN	NaN	NaN
7.40000E+1	0.00000E+0	NaN	NaN	NaN
7.50000E+1	0.00000E+0	NaN	NaN	NaN
7.60000E+1	0.00000E+0	NaN	NaN	NaN
7.70000E+1	0.00000E+0	NaN	NaN	NaN
7.80000E+1	0.00000E+0	NaN	NaN	NaN
7.90000E+1	0.00000E+0	NaN	NaN	NaN
8.00000E+1	0.00000E+0	NaN	NaN	NaN
8.10000E+1	0.00000E+0	NaN	NaN	NaN
8.20000E+1	0.00000E+0	NaN	NaN	NaN
8.30000E+1	0.00000E+0	NaN	NaN	NaN
8.40000E+1	0.00000E+0	NaN	NaN	NaN
8.50000E+1	0.00000E+0	NaN	NaN	NaN
8.60000E+1	0.00000E+0	NaN	NaN	NaN
8.70000E+1	0.00000E+0	NaN	NaN	NaN
8.80000E+1	0.00000E+0	NaN	NaN	NaN
8.90000E+1	0.00000E+0	NaN	NaN	NaN
9.00000E+1	0.00000E+0	NaN	NaN	NaN
9.10000E+1	0.00000E+0	NaN	NaN	NaN
9.20000E+1	0.00000E+0	NaN	NaN	NaN
9.30000E+1	0.00000E+0	NaN	NaN	NaN
9.40000E+1	0.00000E+0	NaN	NaN	NaN
9.50000E+1	0.00000E+0	NaN	NaN	NaN
9.60000E+1	0.00000E+0	NaN	NaN	NaN
9.70000E+1	0.00000E+0	NaN	NaN	NaN
9.80000E+1	0.00000E+0	NaN	NaN	NaN
9.90000E+1	0.00000E+0	NaN	NaN	NaN
1.00000E+2	0.00000E+0	NaN	NaN	NaN
1.01000E+2	0.00000E+0	NaN	NaN	NaN
1.02000E+2	0.00000E+0	NaN	NaN	NaN
1.03000E+2	0.00000E+0	NaN	NaN	NaN
1.04000E+2	0.00000E+0	NaN	NaN	NaN
1.05000E+2	0.00000E+0	NaN	NaN	NaN
1.06000E+2	0.00000E+0	NaN	NaN	NaN
1.07000E+2	0.00000E+0	NaN	NaN	NaN
1.08000E+2	0.00000E+0	NaN	NaN	NaN
1.09000E+2	0.00000E+0	NaN	NaN	NaN
1.10000E+2	0.00000E+0	NaN	NaN	NaN
1.11000E+2	0.00000E+0	NaN	NaN	NaN
1.12000E+2	0.00000E+0	NaN	NaN	NaN
1.13000E+2	0.00000E+0	NaN	NaN	NaN
1.14000E+2	0.00000E+0	NaN	NaN	NaN
1.15000E+2	0.00000E+0	NaN	NaN	NaN
1.16000E+2	0.00000E+0	NaN	NaN	NaN
1.17000E+2	0.00000E+0	NaN	NaN	NaN
1.18000E+2	0.00000E+0	NaN	NaN	NaN
1.19000E+2	0.00000E+0	NaN	NaN	NaN
1.20000E+2	0.00000E+0	NaN	NaN	NaN
1.21000E+2	0.00000E+0	NaN	NaN	NaN
1.22000E+2	0.00000E+0	NaN	NaN	NaN
1.23000E+2	0.00000E+0	NaN	NaN	NaN
1.24000E+2	0.00000E+0	NaN	NaN	NaN
1.25000E+2	0.00000E+0	NaN	NaN	NaN
1.26000E+2	0.00000E+0	NaN	NaN	NaN
1.27000E+2	0.00000E+0	NaN	NaN	NaN
1.28000E+2	0.00000E+0	NaN	NaN	NaN
1.29000E+2	0.00000E+0	NaN	NaN	NaN
1.30000E+2	0.00000E+0	NaN	NaN	NaN
1.31000E+2	0.00000E+0	NaN	NaN	NaN
1.32000E+2	0.00000E+0	NaN	NaN	NaN
1.33000E+2	0.00000E+0	NaN	NaN	NaN
1.34000E+2	0.00000E+0	NaN	NaN	NaN
1.35000E+2	0.00000E+0	NaN	NaN	NaN
1.36000E+2	0.00000E+0	NaN	NaN	NaN
1.37000E+2	0.00000E+0	NaN	NaN	NaN
1.38000E+2	0.00000E+0	NaN	NaN	NaN
