Name: Ryan
Sample: PST441 H3
Measuring Station: King Louis
Start Date/Time: 6/25/2019 / 11:13:01 AM
Actual time: 6/25/2019 / 11:13:01 AM

Comment:
PST441 H3
8-Terminal Hall Bar
June 24th, 2019
Cool-down measurement

Pushing current from 6 to 12
Measuring Rxx from 8 to E in Keysight 1

Set frequency to 37.37 Hz
Giving amplitude of 100mV through 1224:12 divider
Reference resistance of 996.51 Ohms
Measuring ref. resistance in Keysight 2

Cooling overnight from 200K

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 9.035600E+4
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------								
Zeit (Computer) []	None () []	Voltage (Keysight34460A 1) [V]	Voltage (Keysight34460A 2) [V]	Voltage (Keysight34460A 3) [V]	Temp. (Model 335 ChA) [K]	Temp. (Model 335 ChB) [Ohm]	Rxx (Ohm)	Gxx (Mho)
								
0.00000E+0	0.00000E+0	6.72559E-1	6.68314E+0	NaN	0.00000E+0	0.00000E+0	1.00284E+2	2.57399E+2
1.00000E+0	0.00000E+0	6.72548E-1	6.68294E+0	NaN	0.00000E+0	0.00000E+0	1.00285E+2	2.57396E+2
2.00000E+0	0.00000E+0	6.72504E-1	6.68263E+0	NaN	0.00000E+0	0.00000E+0	1.00283E+2	2.57400E+2
3.00000E+0	0.00000E+0	6.72498E-1	6.68263E+0	NaN	0.00000E+0	0.00000E+0	1.00283E+2	2.57403E+2
4.00000E+0	0.00000E+0	6.72531E-1	6.68254E+0	NaN	0.00000E+0	0.00000E+0	1.00289E+2	2.57386E+2
5.00000E+0	0.00000E+0	6.72520E-1	6.68249E+0	NaN	0.00000E+0	0.00000E+0	1.00288E+2	2.57389E+2
6.00000E+0	0.00000E+0	6.72537E-1	6.68248E+0	NaN	0.00000E+0	0.00000E+0	1.00291E+2	2.57382E+2
7.00000E+0	0.00000E+0	6.72548E-1	6.68261E+0	NaN	0.00000E+0	0.00000E+0	1.00290E+2	2.57383E+2
8.00000E+0	0.00000E+0	6.72575E-1	6.68271E+0	NaN	0.00000E+0	0.00000E+0	1.00293E+2	2.57376E+2
9.00000E+0	0.00000E+0	6.72581E-1	6.68251E+0	NaN	0.00000E+0	0.00000E+0	1.00297E+2	2.57366E+2
1.00000E+1	0.00000E+0	6.72548E-1	6.68241E+0	NaN	0.00000E+0	0.00000E+0	1.00293E+2	2.57375E+2
1.10000E+1	0.00000E+0	6.72520E-1	6.68223E+0	NaN	0.00000E+0	0.00000E+0	1.00292E+2	2.57379E+2
1.20000E+1	0.00000E+0	6.72460E-1	6.68197E+0	NaN	0.00000E+0	0.00000E+0	1.00287E+2	2.57392E+2
1.30000E+1	0.00000E+0	6.72427E-1	6.68193E+0	NaN	0.00000E+0	0.00000E+0	1.00283E+2	2.57403E+2
1.40000E+1	0.00000E+0	6.72416E-1	6.68195E+0	NaN	0.00000E+0	0.00000E+0	1.00281E+2	2.57408E+2
1.50000E+1	0.00000E+0	6.72438E-1	6.68190E+0	NaN	0.00000E+0	0.00000E+0	1.00285E+2	2.57398E+2
1.60000E+1	0.00000E+0	6.72443E-1	6.68182E+0	NaN	0.00000E+0	0.00000E+0	1.00287E+2	2.57392E+2
1.70000E+1	0.00000E+0	6.72460E-1	6.68201E+0	NaN	0.00000E+0	0.00000E+0	1.00286E+2	2.57394E+2
