         2147790 function calls (2085485 primitive calls) in 1123.122 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1925    0.021    0.000 1053.813    0.547 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backend_bases.py:1376(_on_timer)
    15474    0.021    0.000    0.021    0.000 {built-in method devicePixelRatio}
     4065    0.021    0.000    0.054    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:749(__init__)
    10090    0.021    0.000    0.024    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:162(set_children)
     7944    0.020    0.000    0.084    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\numeric.py:2157(identity)
        1    0.019    0.019    0.020    0.020 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:101(_create_qApp)
     2050    0.019    0.000    0.058    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backend_bases.py:859(__init__)
     1925    0.019    0.000    7.857    0.004 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_qt5agg.py:169(blit)
     1948    0.018    0.000    1.152    0.001 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:1348(safe_masked_invalid)
    21210    0.018    0.000    0.018    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:3562(_get_data)
        8    0.016    0.002    0.017    0.002 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:596(_icon)
    11856    0.016    0.000    0.016    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\__init__.py:825(__getitem__)
     7898    0.016    0.000    0.047    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2323(amin)
     7915    0.016    0.000    0.033    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:2375(__init__)
     5784    0.015    0.000    0.015    0.000 {built-in method numpy.core.multiarray.min_scalar_type}
     7911    0.015    0.000    0.108    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:2058(scale)
     5784    0.014    0.000    0.034    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\numerictypes.py:699(issubdtype)
     1925    0.014    0.000    0.034    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_qt5agg.py:180(<listcomp>)
     1929    0.014    0.000    0.343    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:5560(min)
    14724    0.014    0.000    2.659    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\numeric.py:424(asarray)
     3858    0.013    0.000    0.104    0.000 {method 'view' of 'numpy.generic' objects}
    13862    0.013    0.000    0.051    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:124(invalidate)
    32798    0.013    0.000    0.029    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:1354(getmask)
     5850    0.012    0.000    0.072    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:2044(translate)
     3883    0.012    0.000    0.012    0.000 {built-in method builtins.min}
     7925    0.012    0.000    0.050    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:2556(composite_transform_factory)
9661/8996    0.012    0.000    0.016    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:230(stale)
     1944    0.012    0.000 1044.515    0.537 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\animation.py:1267(_step)
     5786    0.012    0.000    0.144    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:3661(filled)
     5787    0.012    0.000    0.015    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:289(x0)
     7712    0.012    0.000    0.012    0.000 {method 'astype' of 'numpy.generic' objects}
     1925    0.011    0.000 1053.790    0.547 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\animation.py:1532(_step)
      156    0.011    0.000    0.011    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    43138    0.011    0.000    0.011    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:1939(get_matrix)
     7986    0.010    0.000    0.017    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
17439/17381    0.010    0.000    0.011    0.000 {built-in method builtins.issubclass}
     1929    0.010    0.000    0.299    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:5681(max)
     7901    0.010    0.000    0.031    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2222(amax)
     3940    0.010    0.000    0.223    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:343(xmin)
     3856    0.010    0.000    0.010    0.000 {method 'copy' of 'numpy.generic' objects}
        1    0.010    0.010    0.033    0.033 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:470(__init__)
     1925    0.010    0.000 1044.501    0.543 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\animation.py:1292(_draw_next_frame)
    11568    0.010    0.000    0.019    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\numerictypes.py:631(issubclass_)
    17631    0.009    0.000    0.009    0.000 {built-in method builtins.iter}
     1939    0.009    0.000    0.009    0.000 {built-in method end}
     2059    0.009    0.000    0.127    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:1410(transform)
     4219    0.009    0.000    0.143    0.000 {method 'any' of 'numpy.ndarray' objects}
    15474    0.009    0.000    0.030    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:259(_dpi_ratio)
     8040    0.009    0.000    0.015    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:518(iterable)
     5784    0.009    0.000    0.022    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:664(getdata)
     2246    0.009    0.000    0.009    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     8316    0.008    0.000    0.013    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\six.py:583(itervalues)
     3850    0.008    0.000    0.010    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\animation.py:1346(<genexpr>)
     1948    0.008    0.000    0.092    0.000 {method 'view' of 'numpy.ndarray' objects}
     1950    0.008    0.000    0.018    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:1034(__init__)
     2050    0.008    0.000    0.010    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:768(_set_gc_clip)
     3856    0.007    0.000    0.007    0.000 {built-in method math.ceil}
     1923    0.007    0.000    0.740    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:414(restore_region)
     7909    0.007    0.000    0.058    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:1266(__add__)
    21687    0.007    0.000    0.007    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:986(get_points)
     3859    0.007    0.000    0.008    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\numerictypes.py:577(obj2sctype)
     3858    0.007    0.000    0.015    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\numerictypes.py:771(__getitem__)
    15667    0.007    0.000    0.007    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:1737(_get_is_affine)
     1928    0.007    0.000    0.024    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:438(_check_fill_value)
     5786    0.007    0.000    0.032    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:209(_recursive_fill_value)
     2503    0.007    0.000    0.024    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\colors.py:98(_is_nth_color)
     3858    0.007    0.000    0.037    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:289(_extremum_fill_value)
       14    0.007    0.000    0.007    0.000 {built-in method eraseRect}
     1925    0.006    0.000   67.709    0.035 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:2443(draw_artist)
     2503    0.006    0.000    0.034    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\colors.py:119(to_rgba)
     1947    0.006    0.000    1.342    0.001 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\image.py:628(set_array)
     3862    0.006    0.000    0.007    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:402(width)
     1923    0.006    0.000    0.663    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:311(restore_region)
     2059    0.006    0.000    0.011    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:2457(transform_non_affine)
     4164    0.006    0.000    0.006    0.000 {built-in method builtins.max}
     1928    0.006    0.000    0.031    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:3584(get_fill_value)
     3940    0.006    0.000    0.024    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:357(xmax)
     2205    0.006    0.000    0.006    0.000 {built-in method numpy.core.multiarray.can_cast}
     3858    0.006    0.000    0.020    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:291(_scalar_fill_value)
     1929    0.006    0.000    0.011    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\colors.py:968(autoscale_None)
        3    0.006    0.002    0.006    0.002 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:86(__init__)
     1925    0.005    0.000    0.784    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\animation.py:1304(_pre_draw)
     1928    0.005    0.000   75.613    0.039 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\animation.py:1315(_post_draw)
     2186    0.005    0.000    0.005    0.000 {built-in method matplotlib._path.affine_transform}
     6458    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
      162    0.005    0.000    0.036    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\lines.py:295(__init__)
        1    0.005    0.005    0.005    0.005 {method 'choice' of 'mtrand.RandomState' objects}
     9937    0.005    0.000    0.264    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\_methods.py:28(_amin)
     1941    0.005    0.000    1.911    0.001 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:410(copy_from_bbox)
      156    0.005    0.000    0.026    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:1248(findfont)
     4063    0.005    0.000    0.006    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:318(get_transform)
     5786    0.005    0.000    0.007    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:224(_get_dtype_of)
     3940    0.005    0.000    0.019    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:350(ymin)
     3943    0.005    0.000    0.018    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:364(ymax)
     2050    0.005    0.000    0.063    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backend_bases.py:797(new_gc)
     1928    0.005    0.000    0.014    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:234(default_fill_value)
     1934    0.004    0.000    1.647    0.001 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1721(clip)
     1939    0.004    0.000    0.015    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:438(extents)
      104    0.004    0.000    0.047    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\text.py:284(_get_layout)
     3856    0.004    0.000    0.195    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:1404(__array__)
     2182    0.004    0.000    0.004    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     9952    0.004    0.000    0.246    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\_methods.py:25(_amax)
     2076    0.004    0.000    1.643    0.001 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:50(_wrapfunc)
    12016    0.004    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:202(axes)
     1928    0.004    0.000    0.056    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:7755(asarray)
     2246    0.004    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\re.py:286(_compile)
     1947    0.004    0.000    0.252    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\lib\function_base.py:1461(copy)
        2    0.004    0.002    0.004    0.002 {built-in method statusBar}
     2182    0.004    0.000    0.012    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:1858(transform_affine)
       18    0.004    0.000    0.004    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1928    0.004    0.000    0.005    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:279(_scalar_fill_value)
     2246    0.004    0.000    0.017    0.000 C:\Users\ryank\Anaconda3\lib\re.py:169(match)
     2059    0.004    0.000    0.091    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:2453(transform_affine)
5860/5857    0.004    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:2652(get_matrix)
     5790    0.004    0.000    0.005    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:298(y0)
     3868    0.004    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:411(height)
     3869    0.004    0.000    0.007    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:279(__array__)
     4465    0.004    0.000    0.018    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\numeric.py:495(asanyarray)
      737    0.004    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:1197(score_weight)
    33012    0.004    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:1804(get_affine)
     4219    0.004    0.000    0.134    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\_methods.py:37(_any)
     1948    0.004    0.000    0.051    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:1541(_shrink_mask)
     2050    0.003    0.000    0.005    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backend_bases.py:1013(set_alpha)
     1948    0.003    0.000    0.057    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:3533(shrink_mask)
      737    0.003    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:1179(score_stretch)
    20136    0.003    0.000    0.003    0.000 {built-in method builtins.id}
     5784    0.003    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\image.py:640(get_interpolation)
     9694    0.003    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:723(get_animated)
      342    0.003    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:87(__init__)
     1929    0.003    0.000    0.027    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:304(minimum_fill_value)
      737    0.003    0.000    0.007    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:1118(score_family)
     2072    0.003    0.000    0.003    0.000 {built-in method builtins.next}
     2039    0.003    0.000    0.236    0.000 {method 'min' of 'numpy.ndarray' objects}
     5807    0.003    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:2334(get_matrix)
     5806    0.003    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:2711(get_matrix)
      106    0.003    0.000    0.011    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\lines.py:655(recache)
     3995    0.003    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\figure.py:426(_get_dpi)
     5784    0.002    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:3446(_get_mask)
     2050    0.002    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backend_bases.py:1167(get_hatch_path)
     8314    0.002    0.000    0.002    0.000 {method 'values' of 'dict' objects}
     3856    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.promote_types}
     2051    0.002    0.000    0.227    0.000 {method 'max' of 'numpy.ndarray' objects}
       73    0.002    0.000    0.019    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\text.py:700(draw)
     3908    0.002    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:712(get_alpha)
       52    0.002    0.000    0.002    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1938    0.002    0.000    0.005    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:591(filled)
     4872    0.002    0.000    0.005    0.000 {method 'get' of 'dict' objects}
     2176    0.002    0.000    0.014    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:1778(transform)
     3856    0.002    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:3195(_scalar_heuristic)
      555    0.002    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:707(__hash__)
     1928    0.002    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\image.py:795(_check_unsampled_image)
       52    0.002    0.000    0.017    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\lines.py:737(draw)
     5650    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     3858    0.002    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:1813(_check_mask_axis)
     1929    0.002    0.000    0.015    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:355(maximum_fill_value)
     4294    0.002    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:778(get_rasterized)
     4294    0.002    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:799(get_agg_filter)
      737    0.002    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:1141(<listcomp>)
     2172    0.001    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backend_bases.py:1087(set_foreground)
      663    0.001    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\abc.py:178(__instancecheck__)
     2050    0.001    0.000    0.001    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backend_bases.py:940(get_dashes)
    10740    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      151    0.001    0.000    0.006    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:661(__init__)
      156    0.001    0.000    0.028    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:265(_get_agg_font)
     3856    0.001    0.000    0.001    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\image.py:713(get_filternorm)
     1929    0.001    0.000    0.001    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\image.py:822(get_extent)
    54/46    0.001    0.000    0.066    0.001 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\axis.py:68(__init__)
     1928    0.001    0.000    0.001    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backend_bases.py:1049(set_clip_rectangle)
     3856    0.001    0.000    0.001    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\image.py:730(get_filterrad)
     1088    0.001    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:288(pchanged)
     2050    0.001    0.000    0.001    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backend_bases.py:1194(get_sketch_params)
     2050    0.001    0.000    0.001    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backend_bases.py:1055(set_clip_path)
       52    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      290    0.001    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:868(update)
     2050    0.001    0.000    0.001    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backend_bases.py:1176(get_hatch_color)
      118    0.001    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\path.py:204(_update_values)
