504.04,18.00
750.00,20.80
10.000,3.50
50.000,3.50
100.00,4.50
150.00,7.70
200.00,5.20
125.00,4.40
175.00,7.30
160.00,12.00
170.00,9.80
165.00,12.10
155.00,6.60
162.00,11.30
250.00,5.70
300.00,3.00
290.00,10.50
310.00,15.80
305.00,33.60
295.00,15.00
302.00,53.60
301.00,45.60
303.00,60.60
350.00,6.80
400.00,18.60
425.00,35.50
435.00,33.00
432.00,34.70
428.00,37.70
429.00,37.50
450.00,21.00
500.00,23.00
550.00,12.10
600.00,49.60
610.00,26.50
590.00,157.90
585.00,181.00
580.00,91.00
587.00,218.70
588.00,207.00
586.00,206.50
650.00,5.40
700.00,14.40
675.00,6.20
