#X,#CH1,#CH2
#Second,#Volt,#Volt
1.76E-02,2.00E-02,-4.00E-02
1.78E-02,0.00E+00,0.00E+00
1.80E-02,2.00E-02,0.00E+00
1.82E-02,0.00E+00,-4.00E-02
1.84E-02,2.00E-02,0.00E+00
1.86E-02,0.00E+00,-4.00E-02
1.88E-02,2.00E-02,-4.00E-02
1.90E-02,0.00E+00,0.00E+00
1.92E-02,2.00E-02,2.00E-02
1.94E-02,-4.00E-02,-4.00E-02
1.96E-02,0.00E+00,-4.00E-02
1.98E-02,2.00E-02,0.00E+00
2.00E-02,0.00E+00,0.00E+00
2.02E-02,2.00E-02,-4.00E-02
2.04E-02,0.00E+00,0.00E+00
2.06E-02,2.00E-02,-4.00E-02
2.08E-02,0.00E+00,0.00E+00
2.10E-02,0.00E+00,-4.00E-02
2.12E-02,-4.00E-02,-4.00E-02
2.14E-02,2.00E-02,2.00E-02
2.16E-02,0.00E+00,0.00E+00
2.18E-02,0.00E+00,-4.00E-02
2.20E-02,0.00E+00,0.00E+00
2.22E-02,2.00E-02,-4.00E-02
2.24E-02,0.00E+00,0.00E+00
2.26E-02,-4.00E-02,-4.00E-02
2.28E-02,-4.00E-02,0.00E+00
2.30E-02,2.00E-02,-4.00E-02
2.32E-02,0.00E+00,0.00E+00
2.34E-02,-4.00E-02,-4.00E-02
2.36E-02,0.00E+00,0.00E+00
2.38E-02,-4.00E-02,-4.00E-02
2.40E-02,0.00E+00,0.00E+00
2.42E-02,-4.00E-02,-4.00E-02
2.44E-02,-4.00E-02,0.00E+00
2.46E-02,2.00E-02,0.00E+00
2.48E-02,0.00E+00,-4.00E-02
2.50E-02,-4.00E-02,0.00E+00
2.52E-02,0.00E+00,0.00E+00
2.54E-02,-4.00E-02,-4.00E-02
2.56E-02,-4.00E-02,0.00E+00
2.58E-02,0.00E+00,-4.00E-02
2.60E-02,0.00E+00,0.00E+00
2.62E-02,-4.00E-02,-4.00E-02
2.64E-02,-4.00E-02,-4.00E-02
2.66E-02,0.00E+00,0.00E+00
2.68E-02,-4.00E-02,0.00E+00
2.70E-02,0.00E+00,-4.00E-02
2.72E-02,-4.00E-02,0.00E+00
2.74E-02,0.00E+00,0.00E+00
2.76E-02,-4.00E-02,0.00E+00
2.78E-02,0.00E+00,-4.00E-02
2.80E-02,0.00E+00,0.00E+00
2.82E-02,-4.00E-02,-4.00E-02
2.84E-02,-4.00E-02,0.00E+00
2.86E-02,0.00E+00,-4.00E-02
2.88E-02,-4.00E-02,0.00E+00
2.90E-02,0.00E+00,-4.00E-02
2.92E-02,0.00E+00,-4.00E-02
2.94E-02,-4.00E-02,0.00E+00
2.96E-02,-4.00E-02,0.00E+00
2.98E-02,0.00E+00,-4.00E-02
3.00E-02,-4.00E-02,0.00E+00
