#    B        V
  -5.644   -5.870
  -5.595   -5.863
  -5.526   -5.850
  -5.465   -5.837
  -5.383   -5.817
  -5.305   -5.795
  -5.232   -5.773
  -5.156   -5.749
  -5.080   -5.724
  -4.980   -5.690
  -4.899   -5.661
  -4.818   -5.631
  -4.734   -5.598
  -4.654   -5.566
  -4.568   -5.529
  -4.480   -5.488
  -4.355   -5.428
  -4.202   -5.341
  -4.070   -5.263
  -4.006   -5.227
  -3.791   -5.111
  -2.683   -4.348
  -2.667   -4.347
  -2.662   -4.345
  -2.661   -4.345
  -2.660   -4.346
