#  Vmag     Imag      dx       dy
 25.2920  23.2700   0.3000   0.0500
 27.9570  26.7850  -0.7700  -0.1100
 23.1250  21.5200  -0.3400  -0.0500
 23.6310  22.0360   0.1800  -0.2400
 27.3800  26.2740  -0.6000  -0.3000
 21.9900  21.6120  -0.4900   0.0100
 20.2860  19.4180  -0.0400   0.0100
 22.0960  20.8200   0.0000   0.0100
 27.7880  26.2970  -0.1800  -0.4900
 23.0090  21.4450  -0.0100  -0.1200
 21.9450  20.6770  -0.0200   0.1200
 22.7630  22.3880  -0.4700   0.0900
 28.4380  27.7160   0.2900   0.3400
 22.9480  21.4240   0.0000   0.0100
 23.6080  23.1460  -0.6300  -0.0800
 22.9850  21.5040   0.0100  -0.1900
 21.9350  20.5990  -0.1400  -0.0200
 21.9480  20.6560   0.2800  -0.1200
 25.8010  23.5630  -0.0500  -0.2000
 23.3840  21.8000   0.3200  -0.0800
 23.3860  22.9130  -0.3600  -0.2600
 22.7020  21.2310   0.0200   0.1600
 24.9820  23.1450   0.0300  -0.1900
 23.9930  22.2120   0.0200  -0.0100
 25.4870  23.4700   0.3600   0.0800
 22.0260  20.7050  -0.2600  -0.0900
 24.2440  22.3230   0.3100  -0.0900
 25.9010  23.6710   0.1200  -0.0800
 26.4270  24.2550   0.2700  -0.1400
 20.4240  19.5110  -0.1100  -0.0400
 27.9210  26.7350  -0.5700   0.0800
 28.6840  25.6100   0.1700   0.0100
 22.8920  21.3660  -0.0700  -0.0200
 22.9380  21.3890   0.2900  -0.2700
 26.5240  25.5670  -0.2600  -0.3800
 24.9540  23.0240   0.2200   0.0500
 25.3690  24.8070  -0.3000  -0.2800
 24.1370  22.3480   0.2800   0.0100
 24.6460  24.0370  -0.4000  -0.3100
 26.4590  24.1220   0.1100  -0.1900
 25.1390  23.0300  -0.0700   0.1200
 21.2170  20.0590  -0.0300   0.2800
 26.1220  25.5070  -0.9000   0.1400
 25.2640  23.2650  -0.0100   0.0000
 22.8210  21.4180   0.1300  -0.2400
 24.7500  22.8910  -0.1000   0.1600
 23.5150  21.7980   0.1500  -0.0500
 28.6250  27.4690  -0.6400   7.5800
 25.1270  23.1260  -0.0300  -0.0900
 24.9030  22.9990  -0.4600  -0.0200
 22.7660  21.2800  -0.0900   0.2000
 25.5100  23.5950   0.0600  -0.1200
 24.2060  22.3670   0.2600   0.1600
 25.6040  23.9100   0.1300   0.2600
