#    B        V
  18.150   16.158
  17.857   15.899
  17.615   15.685
  17.558   15.635
  17.047   15.179
  16.735   14.897
  16.634   14.805
  16.122   14.308
  15.674   13.859
  15.614   13.803
  14.875   13.118
  14.148   12.454
  13.571   11.925
  13.078   11.472
  12.600   11.032
  11.784   10.278
  11.554   10.064
  11.545   10.056
  11.539   10.050
  11.488   10.003
  11.137    9.676
  10.840    9.399
  10.830    9.389
  10.155    8.836
   9.947    8.656
   9.264    8.043
   9.150    7.941
   9.093    7.892
   8.938    7.760
   8.701    7.557
   8.074    7.032
   7.736    6.742
   7.593    6.619
   7.456    6.502
   7.179    6.266
   7.138    6.231
   6.722    5.880
   6.346    5.565
   5.982    5.261
   5.649    4.983
   5.333    4.718
   5.037    4.467
   5.015    4.447
   4.899    4.346
   4.816    4.274
   4.751    4.218
   4.638    4.124
   4.610    4.101
   4.501    4.008
   4.254    3.796
   4.020    3.594
   3.800    3.405
   3.593    3.227
   3.393    3.059
   3.198    2.896
   3.010    2.741
   2.831    2.593
   2.745    2.524
   2.663    2.456
   2.582    2.390
   2.505    2.329
   2.428    2.267
   2.356    2.210
   2.287    2.154
   2.220    2.100
   2.156    2.049
   2.096    2.000
   2.046    1.959
   2.037    1.951
   1.979    1.904
   1.873    1.815
   1.773    1.731
   1.678    1.651
   1.624    1.605
   1.590    1.575
   1.505    1.502
   1.425    1.431
   1.346    1.363
   1.198    1.231
   1.154    1.191
   0.925    0.982
   0.672    0.748
   0.459    0.547
   0.436    0.525
   0.288    0.383
   0.210    0.309
   0.144    0.247
  -0.009    0.100
  -0.086    0.026
  -0.222   -0.106
  -0.358   -0.237
  -0.436   -0.313
  -0.511   -0.385
  -0.651   -0.522
  -0.658   -0.528
  -0.689   -0.558
  -0.815   -0.682
  -0.887   -0.752
  -0.933   -0.798
  -1.037   -0.901
  -1.136   -0.999
  -1.190   -1.052
  -1.332   -1.194
  -1.415   -1.277
  -1.499   -1.361
  -1.614   -1.476
  -1.748   -1.612
  -1.753   -1.617
  -1.883   -1.749
  -2.003   -1.872
  -2.124   -1.995
  -2.181   -2.054
  -2.250   -2.125
  -2.336   -2.213
  -2.352   -2.226
  -2.348   -2.218
  -2.329   -2.194
  -2.312   -2.172
  -2.301   -2.156
  -2.297   -2.148
  -2.294   -2.143
  -2.270   -2.122
  -2.259   -2.115
  -2.286   -2.147
  -2.348   -2.214
  -2.434   -2.306
  -2.527   -2.403
  -2.612   -2.494
  -2.688   -2.576
  -2.758   -2.651
  -2.821   -2.719
  -2.879   -2.783
  -2.933   -2.843
  -2.982   -2.898
  -3.026   -2.949
  -3.066   -2.997
  -3.102   -3.041
  -3.134   -3.083
  -3.159   -3.120
  -3.177   -3.153
  -3.188   -3.180
  -3.189   -3.201
  -3.179   -3.215
  -3.156   -3.220
  -3.122   -3.217
  -3.076   -3.207
  -3.018   -3.192
  -2.950   -3.172
  -2.877   -3.148
  -2.799   -3.119
  -2.717   -3.087
  -2.630   -3.051
  -2.538   -3.012
  -2.441   -2.970
  -2.337   -2.925
  -2.227   -2.877
  -2.112   -2.826
  -1.993   -2.771
  -1.864   -2.707
  -1.728   -2.636
  -1.583   -2.551
  -1.440   -2.460
  -1.287   -2.355
  -1.140   -2.252
  -1.012   -2.167
  -0.990   -2.160
  -0.953   -2.168
  -0.959   -2.206
  -0.983   -2.261
  -1.014   -2.319
  -1.045   -2.373
  -1.067   -2.412
  -1.088   -2.448
  -1.098   -2.464
  -1.120   -2.503
  -1.151   -2.559
  -1.187   -2.620
  -1.227   -2.686
  -1.270   -2.752
  -1.312   -2.815
  -1.356   -2.880
  -1.394   -2.937
  -1.427   -2.989
  -1.433   -2.998
  -1.426   -2.983
  -1.399   -2.933
  -1.370   -2.885
  -1.339   -2.835
  -1.310   -2.787
  -1.273   -2.725
  -1.237   -2.664
  -1.201   -2.602
  -1.166   -2.540
  -1.142   -2.491
  -1.135   -2.451
  -1.169   -2.449
  -1.271   -2.528
  -1.469   -2.685
  -1.649   -2.825
  -1.802   -2.935
  -1.996   -3.057
  -2.150   -3.141
  -2.240   -3.191
  -2.204   -3.178
  -2.180   -3.169
  -2.189   -3.199
  -2.224   -3.254
  -2.153   -3.228
  -2.043   -3.174
  -1.895   -3.085
  -1.743   -2.980
  -1.615   -2.888
  -1.472   -2.790
  -1.374   -2.747
  -1.372   -2.784
  -1.387   -2.822
