#ID   #Source    #V     #B-V    #U-B    #N 
1705	25	6.46	+1.70	+2.07	21
1712	25	14.36	+1.01	+0.47	1
1726	25	9.25	+0.55	+0.12	4
1762	25	8.27	+0.36	+0.11	5
1766	25	9.13	+0.47	+0.07	4
1776	25	10.91	+0.72	+0.22	2
1794	25	10.36	+0.64	+0.13	2
1797	25	10.11	+0.56	+0.07	2
1823	25	5.45	-0.07	-0.32	9
1856	25	10.02	+0.56	+0.09	4
1876	25	6.95	+0.12	+0.09	8
1883	25	12.60	+1.06	+0.71	2
1912	25	9.05	+0.49	+0.02	2
1924	25	10.33	+0.62	+0.13	4
1993	25	8.37	+0.29	+0.13	4
2016	25	13.52	+1.22	+1.15	1
2027	25	10.91	+0.86	+0.50	2
2034	25	12.57	+0.99	+0.64	1
2082	25	13.98	+1.33	+1.26	1
2106	25	11.53	+0.86	+0.46	2
2126	25	11.64	+0.86	+0.48	2
2147	25	10.83	+0.80	+0.34	2
2168	25	3.64	-0.08	-0.36	4
2172	25	10.44	+0.62	+0.09	2
2181	25	5.09	-0.08	-0.28	8
2195	25	8.12	+0.22	+0.10	8
2220	25	7.52	+0.10	+0.11	6
2244	25	12.67	+1.04	+0.62	2
2263	25	6.60	-0.03	-0.12	7
2278	25	10.83	+0.86	+0.46	2
2284	25	11.35	+0.78	+0.38	3
2287	25	15.72	+1.15	+0.98	1
2289	25	7.97	+0.18	+0.13	7
2311	25	11.36	+0.83	+0.39	1
2341	25	10.87	+0.71	+0.24	2
2345	25	9.10	+0.44	+0.02	4
2366	25	11.53	+0.82	+0.36	2
2406	25	11.10	+0.76	+0.26	3
2407	25	12.29	+1.10	+0.96	2
2415	25	8.10	+0.22	+0.13	6
2425	25	6.17	-0.05	-0.19	4
2462	25	11.55	+0.83	+0.46	1
2484	25	9.16	+0.16	+0.15	2
2488	25	7.54	+0.08	+0.08	7
2506	25	10.23	+0.60	+0.08	2
2507	25	6.74	+0.06	-0.06	2
2588	25	13.10	+1.22	+0.94	2
2644	25	11.03	+0.73	+0.25	2
2665	25	11.36	+0.83	+0.44	1
2690	25	7.42	+0.13	+0.12	7
2741	25	12.60	+1.00	+0.80	1
2786	25	10.31	+0.60	+0.07	2
2866	25	6.93	+0.09	+0.03	6
2870	25	12.45	+1.07	+0.89	3
2880	25	11.75	+0.86	+0.37	2
2881	25	11.48	+0.95	+0.56	2
2927	25	13.92	+1.25	+1.05	1
2984	25	12.37	+1.00	+0.85	1
3019	25	13.45	+1.19	+0.97	1
3030	25	13.96	+1.40	+1.16	1
3031	25	8.83	+0.38	+0.05	4
3034	25	11.76	+0.46	+0.09	3
3063	25	13.52	+1.17	+1.00	1
3069	25	13.85	+1.12	+0.96	1
3096	25	12.15	+1.00	+0.66	2
3097	25	10.97	+0.74	+0.25	2
3104	25	13.41	+1.29	+1.10	1
3122	25	11.92	+0.73	+0.19	1
3163	25	12.69	+0.98	+0.64	1
3179	25	10.04	+0.56	+0.05	2
3187	25	13.12	+1.16	+1.04	1
3197	25	12.26	+1.10	+0.89	3
3241	25	13.78	+0.57	+0.06	3
3301	25	9.55	+0.51	+0.01	2
3302	25	8.84	+0.36	+0.02	2
3303	25	9.19	+0.50	+0.00	2
3304	25	6.70	+0.00	-0.01	2
3305	25	7.09	+0.04	+0.03	2
3306	25	6.51	+0.15	+0.18	2
3307	25	7.26	+0.08	+0.02	2
3308	25	7.80	+0.35	+0.04	3
3309	25	9.16	+0.44	+0.01	2
3310	25	9.15	+0.46	+0.02	3
3311	25	9.83	+0.54	+0.03	2
3312	25	8.58	+0.47	+0.00	4
3313	25	9.84	+0.57	+0.04	2
3314	25	9.49	+0.49	+0.02	2
3315	25	9.11	+0.48	+0.13	2
3316	25	7.73	+0.18	+0.13	2
3317	25	7.81	+0.19	+0.15	3
3318	25	8.02	+0.22	+0.12	2
3319	25	8.70	+0.36	+0.12	2
3320	25	8.30	+0.26	+0.14	3
3321	25	8.41	+0.38	-0.01	2
3322	25	7.72	+0.18	+0.12	3
3323	25	7.00	+0.03	-0.02	4
3324	25	9.55	+0.52	+0.06	2
3325	25	6.07	-0.01	-0.32	2
3326	25	9.64	+0.50	+0.01	3
3327	25	9.41	+0.53	+0.09	2
3328	25	7.64	+0.16	+0.13	10
3329	25	9.44	+0.48	-0.02	1
3330	25	6.36	+0.12	+0.15	2
3331	25	9.08	+0.54	+0.12	2
3332	25	9.07	+0.43	-0.03	2
3333	25	10.47	+0.67	+0.16	2
3334	25	8.33	+0.26	+0.12	3
3335	25	7.19	+0.04	-0.01	2
#0865	#25	#16.01	#+1.05	
#0915	#25	#13.62	#+1.23	
#1355	#25	#13.97	#+1.23	
#1531	#25	#13.30	#+1.15	
#2199	#25	#14.31	#+1.13	
#2209	#25	#14.38	#+1.47

