#    B        V
  19.835   17.593
  19.498   17.311
  19.090   16.961
  18.805   16.707
  18.044   16.043
  17.878   15.898
  17.491   15.553
  16.960   15.077
  16.533   14.689
  16.305   14.483
  15.362   13.621
  14.693   13.005
  14.530   12.854
  13.865   12.235
  13.313   11.725
  12.727   11.180
  12.142   10.633
  11.550   10.078
  10.971    9.532
  10.834    9.402
  10.657    9.253
  10.368    9.029
   9.484    8.241
   8.800    7.635
   8.413    7.310
   8.102    7.052
   7.591    6.615
   7.125    6.219
   6.705    5.863
   6.319    5.540
   5.953    5.235
   5.616    4.954
   5.388    4.762
   5.300    4.688
   5.006    4.438
   4.885    4.335
   4.731    4.203
   4.511    4.014
   4.463    3.973
   4.215    3.759
   3.981    3.557
   3.761    3.367
   3.550    3.185
   3.346    3.012
   3.145    2.844
   2.953    2.684
   2.844    2.594
   2.772    2.533
   2.684    2.460
   2.601    2.391
   2.518    2.323
   2.439    2.257
   2.363    2.194
   2.289    2.133
   2.216    2.073
   2.147    2.016
   2.079    1.959
   2.012    1.903
   1.949    1.850
   1.887    1.797
   1.788    1.712
   1.765    1.691
   1.651    1.593
   1.550    1.505
   1.539    1.495
   1.434    1.402
   1.331    1.311
   1.231    1.221
   1.204    1.196
   1.134    1.133
   0.969    0.983
   0.944    0.960
   0.886    0.906
   0.755    0.785
   0.635    0.672
   0.565    0.606
   0.536    0.577
   0.431    0.478
   0.321    0.372
   0.194    0.248
   0.167    0.222
   0.110    0.166
  -0.015    0.042
  -0.122   -0.065
  -0.235   -0.180
  -0.284   -0.229
  -0.377   -0.325
  -0.488   -0.439
  -0.595   -0.551
  -0.683   -0.644
  -0.781   -0.751
  -0.853   -0.831
  -0.894   -0.878
  -0.981   -0.972
  -0.997   -0.983
  -1.035   -1.008
  -1.047   -1.007
  -1.054   -1.004
  -1.061   -1.002
  -1.073   -1.006
  -1.085   -1.012
  -1.092   -1.014
  -1.062   -0.987
  -1.028   -0.958
  -1.015   -0.952
  -1.039   -0.986
  -1.098   -1.056
  -1.165   -1.136
  -1.220   -1.206
  -1.260   -1.262
  -1.284   -1.305
  -1.293   -1.337
  -1.287   -1.358
  -1.268   -1.369
  -1.237   -1.370
  -1.188   -1.364
  -1.131   -1.350
  -1.068   -1.329
  -1.000   -1.303
  -0.926   -1.272
  -0.848   -1.238
  -0.763   -1.200
  -0.672   -1.158
  -0.576   -1.113
  -0.478   -1.066
  -0.377   -1.013
  -0.268   -0.954
  -0.146   -0.880
  -0.029   -0.805
   0.104   -0.714
   0.239   -0.618
   0.366   -0.525
   0.488   -0.441
   0.602   -0.372
   0.615   -0.374
   0.625   -0.407
   0.586   -0.480
   0.541   -0.549
   0.485   -0.628
   0.426   -0.711
   0.372   -0.785
   0.354   -0.809
   0.307   -0.871
   0.298   -0.884
   0.288   -0.896
   0.231   -0.973
   0.174   -1.048
   0.117   -1.122
   0.060   -1.198
   0.001   -1.275
  -0.057   -1.352
  -0.123   -1.441
  -0.190   -1.532
  -0.248   -1.613
  -0.294   -1.677
  -0.320   -1.714
  -0.300   -1.683
  -0.264   -1.632
  -0.225   -1.576
  -0.181   -1.512
  -0.138   -1.452
  -0.095   -1.391
  -0.048   -1.326
   0.001   -1.260
   0.056   -1.185
   0.107   -1.116
   0.159   -1.047
   0.217   -0.971
   0.275   -0.895
   0.331   -0.820
   0.386   -0.746
   0.446   -0.661
   0.482   -0.600
   0.469   -0.579
   0.381   -0.664
   0.244   -0.804
   0.123   -0.936
   0.123   -0.936
   0.113   -0.948
   0.089   -0.989
   0.083   -1.021
   0.081   -1.053
   0.041   -1.126
  -0.003   -1.195
  -0.047   -1.259
  -0.061   -1.278
