#X #Y #V
-0.00558809 0.751464 2.38
-0.0395411 0.748635 1.87
-0.0876411 0.740147 4.3
-0.121594 0.737317 6.13
-0.164035 0.731658 8.69
-0.203647 0.72317 11.2
-0.24043 0.709023 14.4
-0.28853 0.694876 19.1
-0.325312 0.672241 24.5
-0.364924 0.655264 32
-0.401706 0.632629 42.6
-0.449806 0.598676 69.1
-0.48093 0.576041 101
-0.531859 0.533599 184
-0.568642 0.485499 115
-0.605424 0.443058 63.6
-0.630889 0.409105 44.7
-0.650695 0.369493 33.2
-0.67333 0.329881 25
-0.693136 0.281781 18.5
-0.710112 0.244999 14.6
-0.727089 0.199728 10.9
-0.735577 0.160117 8.37
-0.741236 0.123334 6.17
-0.746895 0.0837224 4.04
-0.752554 0.04694 2.24
-0.749724 0.00449877 0.239
-0.749724 -0.0436013 -2.06
-0.746895 -0.0803837 -3.94
-0.741236 -0.125654 -6.28
-0.732748 -0.162437 -8.53
-0.724259 -0.204878 -11.3
-0.710112 -0.24166 -14.3
-0.693136 -0.286931 -19
-0.676159 -0.326543 -24.3
-0.656353 -0.366155 -31.9
-0.630889 -0.405766 -43.9
-0.608253 -0.442549 -61.5
-0.5743 -0.482161 -105
-0.531859 -0.527431 -203
-0.48093 -0.575531 -104
-0.444147 -0.606655 -63.1
-0.404536 -0.62929 -44.5
-0.362094 -0.657584 -31.4
-0.328141 -0.674561 -24.8
-0.282871 -0.694367 -18.5
-0.246088 -0.708514 -14.8
-0.206477 -0.719831 -11.6
-0.166865 -0.72832 -8.86
-0.124424 -0.736808 -6.34
-0.0876411 -0.742467 -4.28
-0.0480293 -0.745296 -2.38
-0.00558809 -0.745296 -0.242
0.0481708 -0.745296 2.38
0.0877826 -0.739637 4.33
0.124565 -0.736808 6.34
0.164177 -0.72549 8.83
0.203789 -0.719831 11.4
0.24623 -0.708514 14.8
0.280183 -0.691537 18.6
0.322624 -0.67739 23.9
0.367895 -0.654755 32.2
0.401848 -0.62929 43.6
0.441459 -0.603825 64.1
0.483901 -0.575531 105
0.529171 -0.530261 197
0.574442 -0.48499 106
0.602736 -0.442549 64.7
0.625371 -0.408596 46.5
0.653666 -0.366155 32.6
0.670642 -0.329372 25.2
0.693277 -0.284102 18.8
0.704595 -0.247319 15
0.721571 -0.202048 11.3
0.72723 -0.165266 8.79
0.738548 -0.128484 6.52
0.744207 -0.0888719 4.36
0.744207 -0.0436013 2.08
0.747036 0.00166935 -0.0481
0.747036 0.04694 -2.27
0.741377 0.0837224 -4.1
0.738548 0.126164 -6.41
0.72723 0.168605 -9.02
0.718742 0.202558 -11.4
0.707424 0.24217 -14.6
0.693277 0.281781 -18.5
0.673471 0.327052 -24.8
0.656495 0.361005 -31.1
0.63103 0.406276 -44.3
0.608395 0.440229 -60.9
0.577271 0.48267 -102
0.529171 0.53077 -197
0.483901 0.573211 -108
0.449948 0.598676 -69.1
0.407506 0.629799 -44.9
0.362236 0.658094 -31.1
0.322624 0.677899 -23.9
0.280183 0.694876 -18.4
0.203789 0.72317 -11.2
0.161347 0.734488 -8.37
0.121736 0.742976 -6.03
0.0877826 0.748635 -4.22
0.0453414 0.751464 -2.15
0.00290015 0.754294 -0.141
