#X #Y #V
7.07354e-5 0.253487 -0.0397
-0.0169058 0.250658 0.671
-0.0338822 0.247828 1.28
-0.059347 0.244999 2.29
-0.0848117 0.233681 3.16
-0.113106 0.219534 3.98
-0.135741 0.211046 4.62
-0.147059 0.205387 4.9
-0.158376 0.19124 4.94
-0.169694 0.185581 5.1
-0.178182 0.179922 5.24
-0.186671 0.171434 5.22
-0.192329 0.160117 5.07
-0.206477 0.148799 5.02
-0.212135 0.137481 4.74
-0.220624 0.120505 4.32
-0.226282 0.114846 4.21
-0.229112 0.09504 3.48
-0.2376 0.0837224 3.13
-0.24043 0.0724047 2.8
-0.246088 0.0554282 2.15
-0.246088 0.04694 1.83
-0.248918 0.0271341 1.06
-0.251747 0.00732818 0.276
-0.251747 -0.0096483 -0.355
-0.248918 -0.020966 -0.822
-0.248918 -0.0436013 -1.69
-0.243259 -0.0520895 -2.04
-0.246088 -0.0634072 -2.47
-0.2376 -0.069066 -2.59
-0.231941 -0.0888719 -3.28
-0.229112 -0.103019 -3.78
-0.217794 -0.117166 -4.09
-0.217794 -0.131313 -4.61
-0.200818 -0.14546 -4.63
-0.192329 -0.162437 -5.13
-0.181012 -0.170925 -5.04
-0.169694 -0.182243 -5.04
-0.158376 -0.19356 -5
-0.130082 -0.213366 -4.52
-0.121594 -0.219025 -4.27
-0.113106 -0.221854 -4.02
-0.0989588 -0.227513 -3.6
-0.0819823 -0.233172 -3
-0.0678352 -0.238831 -2.54
-0.0536881 -0.24166 -2.02
-0.0365411 -0.247319 -1.52
-0.0282234 -0.247319 -1.13
-0.0169058 -0.247319 -0.66
-0.00841751 -0.247319 -0.349
0.0113884 -0.50149 0.434
0.0255355 -0.247319 0.971
0.042512 -0.24449 1.66
0.0623179 -0.238831 2.38
0.0764649 -0.233172 2.85
0.090612 -0.227513 3.3
0.110418 -0.219025 3.9
0.124565 -0.213366 4.3
0.138712 -0.204878 4.62
0.152859 -0.19356 4.8
0.161347 -0.187901 4.9
0.169836 -0.179413 4.92
0.175494 -0.173754 4.93
0.186812 -0.159607 4.83
0.200959 -0.14546 4.73
0.21227 -0.134143 4.66
0.217936 -0.117166 4.09
0.229253 -0.10019 3.71
0.232083 -0.0888719 3.31
0.234912 -0.0747248 2.8
0.237742 -0.0662366 2.52
0.2434 -0.0464307 1.8
0.24623 -0.0322836 1.28
0.249059 -0.0181365 0.744
0.249059 0.0101576 -0.43
0.24623 0.0299635 -1.13
0.2434 0.0497694 -1.88
0.240571 0.0582576 -2.25
0.234912 0.0752341 -2.8
0.229253 0.0893812 -3.25
0.226424 0.100699 -3.67
0.217936 0.120505 -4.23
0.203789 0.14314 -4.71
0.1953 0.154458 -4.92
0.183983 0.168605 -5.04
0.178324 0.174264 -5.11
0.169836 0.182752 -5.04
0.158518 0.19124 -4.94
0.138712 0.205387 -4.62
0.127394 0.216705 -4.46
0.0991002 0.228023 -3.63
0.0792943 0.236511 -2.98
0.0594884 0.244999 -2.29
0.0453414 0.244999 -1.74
0.0311943 0.247828 -1.2
0.0170472 0.250658 -0.671
0.00572956 0.250658 -0.197
