#X #Y #V
-0.00558809 0.997623 0.117
-0.0536881 0.997623 1.21
-0.101788 0.994794 2.36
-0.155547 0.986306 3.68
-0.200818 0.983476 4.79
-0.251747 0.969329 6.18
-0.305506 0.952353 7.75
-0.350777 0.941035 9.07
-0.401706 0.9184 10.8
-0.455465 0.890106 13
-0.500736 0.86747 14.7
-0.557324 0.836347 16.7
-0.605424 0.799564 18.8
-0.656353 0.754294 20.5
-0.710112 0.711852 20.7
-0.755383 0.660923 20.3
-0.803483 0.601505 18.6
-0.834607 0.556235 16.8
-0.86573 0.508135 14.9
-0.894024 0.454376 12.7
-0.91666 0.403446 10.9
-0.936465 0.355346 9.29
-0.956271 0.301587 7.56
-0.970418 0.250658 6.13
-0.984566 0.202558 4.8
-0.990224 0.151628 3.54
-0.998713 0.109187 2.51
-0.998713 0.0554282 1.27
-0.998713 0.00449877 0.116
-0.998713 -0.0520895 -1.23
-0.998713 -0.105848 -2.42
-0.990224 -0.156778 -3.68
-0.981736 -0.204878 -4.91
-0.967589 -0.252978 -6.26
-0.953442 -0.306737 -7.8
-0.936465 -0.354837 -9.29
-0.91383 -0.408596 -11.2
-0.894024 -0.451037 -12.7
-0.86856 -0.504796 -14.6
-0.828948 -0.558555 -17.3
-0.800654 -0.600996 -18.7
-0.758212 -0.651925 -20.5
-0.710112 -0.705684 -21.1
-0.653524 -0.759443 -20.4
-0.605424 -0.799055 -18.8
-0.554495 -0.833008 -17
-0.500736 -0.866961 -14.7
-0.455465 -0.889596 -13.1
-0.404536 -0.915061 -11.1
-0.353606 -0.934867 -9.32
-0.305506 -0.949014 -7.87
-0.254577 -0.96599 -6.35
-0.200818 -0.977308 -4.89
-0.158376 -0.982967 -3.82
-0.104618 -0.988626 -2.5
-0.0536881 -0.997114 -1.23
-0.00275868 -0.999943 -0.0695
0.056659 -0.994285 1.34
0.104759 -0.988626 2.5
0.158518 -0.982967 3.82
0.200959 -0.977308 4.89
0.251889 -0.963161 6.3
0.305648 -0.946185 7.92
0.350918 -0.934867 9.28
0.404677 -0.912232 11.2
0.452777 -0.886767 13.1
0.500877 -0.861302 15.1
0.554636 -0.830179 17.1
0.605565 -0.793396 19.3
0.650836 -0.756614 20.6
0.701766 -0.702855 21.9
0.752695 -0.654755 20.8
0.789477 -0.609484 19.5
0.829089 -0.555725 17.3
0.860213 -0.507625 15.1
0.891336 -0.451037 12.9
0.911142 -0.408596 11.3
0.930948 -0.357666 9.54
0.950754 -0.303907 7.77
0.964901 -0.250149 6.26
0.976219 -0.202048 4.93
0.984707 -0.156778 3.75
0.990366 -0.108678 2.57
0.996025 -0.0577484 1.33
0.996025 0.00449877 -0.117
0.996025 0.0525988 -1.23
0.990366 0.100699 -2.39
0.990366 0.109187 -2.57
0.984707 0.151628 -3.61
0.973389 0.208217 -5.14
0.967731 0.250658 -6.22
0.950754 0.301587 -7.72
0.933778 0.355346 -9.43
0.916801 0.403446 -10.9
0.885678 0.454376 -13.3
0.860213 0.505305 -15.1
0.834748 0.550576 -16.9
0.795136 0.601505 -19.2
0.755524 0.652435 -20.7
0.704595 0.706194 -21.3
0.653666 0.757123 -20.5
0.605565 0.796735 -19
0.557465 0.827858 -17.4
0.506536 0.864641 -14.9
0.452777 0.892935 -12.8
0.404677 0.9184 -10.9
0.359406 0.932547 -9.51
0.302818 0.952353 -7.71
0.254718 0.972159 -6.18
0.203789 0.980647 -4.87
0.155689 0.989135 -3.66
0.10193 0.997623 -2.34
0.0510002 0.997623 -1.19
