#Source,#CH1,#CH2
#Second,#Volt,#Volt
-0.0040196,-0.62,0.0456
-0.0040192,-0.62,0.0448
-0.0040188,-0.6,0.0448
-0.0040184,-0.6,0.0456
-0.004018,-0.62,0.0456
-0.0040176,-0.62,0.0448
-0.0040172,-0.6,0.0472
-0.0040168,-0.62,0.0464
-0.0040164,-0.62,0.0448
-0.004016,-0.62,0.0448
-0.0040156,-0.62,0.0464
-0.0040152,-0.62,0.0432
-0.0040148,-0.62,0.0456
-0.0040144,-0.62,0.0456
-0.004014,-0.6,0.044
-0.0040136,-0.62,0.0448
-0.0040132,-0.62,0.044
-0.0040128,-0.62,0.0448
-0.0040124,-0.62,0.044
-0.004012,-0.62,0.0456
-0.0040116,-0.62,0.0448
-0.0040112,-0.62,0.0448
-0.0040108,-0.62,0.0464
-0.0040104,-0.6,0.044
-0.00401,-0.62,0.0448
-0.0040096,-0.62,0.0456
-0.0040092,-0.62,0.0456
-0.0040088,-0.62,0.0456
-0.0040084,-0.62,0.0448
-0.004008,-0.62,0.0448
-0.0040076,-0.62,0.0448
-0.0040072,-0.62,0.0448
-0.0040068,-0.62,0.0448
-0.0040064,-0.62,0.0448
-0.004006,-0.62,0.0456
-0.0040056,-0.62,0.0456
-0.0040052,-0.64,0.0456
-0.0040048,-0.62,0.044
-0.0040044,-0.62,0.0456
-0.004004,-0.62,0.0456
-0.0040036,-0.6,0.0448
-0.0040032,-0.62,0.0464
-0.0040028,-0.64,0.0448
-0.0040024,-0.6,0.0448
-0.004002,-0.64,0.0448
-0.0040016,-0.64,0.0456
-0.0040012,-0.62,0.0456
-0.0040008,-0.62,0.0456
-0.0040004,-0.62,0.0456
-0.004,-0.62,0.044
-0.0039996,-0.64,0.044
-0.0039992,-0.62,0.0448
-0.0039988,-0.64,0.0448
-0.0039984,-0.62,0.044
-0.003998,-0.62,0.044
-0.0039976,-0.64,0.0448
-0.0039972,-0.62,0.0456
-0.0039968,-0.62,0.0448
-0.0039964,-0.64,0.0448
-0.003996,-0.62,0.0464
-0.0039956,-0.62,0.0448
-0.0039952,-0.62,0.0448
-0.0039948,-0.64,0.0472
-0.0039944,-0.62,0.0464
-0.003994,-0.6,0.0464
-0.0039936,-0.62,0.0464
-0.0039932,-0.64,0.0472
-0.0039928,-0.62,0.0456
-0.0039924,-0.64,0.0456
-0.003992,-0.64,0.0464
-0.0039916,-0.62,0.0456
-0.0039912,-0.62,0.0456
-0.0039908,-0.62,0.0448
-0.0039904,-0.64,0.0472
-0.00399,-0.62,0.044
-0.0039896,-0.62,0.044
-0.0039892,-0.62,0.0448
-0.0039888,-0.62,0.044
-0.0039884,-0.62,0.0448
-0.003988,-0.62,0.044
-0.0039876,-0.64,0.0456
-0.0039872,-0.64,0.044
-0.0039868,-0.64,0.044
-0.0039864,-0.64,0.044
-0.003986,-0.64,0.0448
-0.0039856,-0.62,0.0456
-0.0039852,-0.62,0.0456
-0.0039848,-0.62,0.0456
-0.0039844,-0.62,0.0448
-0.003984,-0.64,0.044
-0.0039836,-0.64,0.0448
-0.0039832,-0.64,0.0464
-0.0039828,-0.64,0.044
-0.0039824,-0.62,0.0456
-0.003982,-0.62,0.0448
-0.0039816,-0.64,0.0456
-0.0039812,-0.62,0.0456
-0.0039808,-0.64,0.044
-0.0039804,-0.64,0.0448
-0.00398,-0.64,0.0432
-0.003979601,-0.62,0.0464
-0.003979201,-0.62,0.0448
-0.003978801,-0.64,0.0456
-0.003978401,-0.64,0.0448
-0.003978001,-0.64,0.0448
-0.003977601,-0.64,0.0456
-0.003977201,-0.64,0.044
-0.003976801,-0.62,0.044
-0.003976401,-0.62,0.0448
-0.003976001,-0.64,0.0448
-0.003975601,-0.62,0.0456
-0.0039752,-0.64,0.0448
-0.0039748,-0.64,0.044
-0.0039744,-0.64,0.044
-0.003974,-0.64,0.0448
-0.0039736,-0.64,0.0448
-0.0039732,-0.62,0.044
-0.0039728,-0.64,0.0456
-0.0039724,-0.62,0.0456
-0.003972,-0.64,0.044
-0.0039716,-0.64,0.0448
-0.0039712,-0.62,0.0448
-0.0039708,-0.64,0.0456
-0.0039704,-0.66,0.0448
-0.00397,-0.64,0.044
-0.0039696,-0.62,0.0448
-0.0039692,-0.64,0.044
-0.0039688,-0.64,0.0448
-0.0039684,-0.64,0.0448
-0.003968,-0.64,0.0472
-0.0039676,-0.64,0.0456
-0.0039672,-0.64,0.0448
-0.0039668,-0.64,0.0456
-0.0039664,-0.64,0.0448
-0.003966,-0.64,0.044
-0.0039656,-0.62,0.044
-0.0039652,-0.66,0.044
-0.0039648,-0.64,0.0448
-0.0039644,-0.62,0.044
-0.003964,-0.64,0.0448
-0.0039636,-0.64,0.0448
-0.0039632,-0.64,0.0472
-0.0039628,-0.62,0.0472
-0.0039624,-0.62,0.0456
-0.003962,-0.64,0.044
-0.0039616,-0.64,0.0448
-0.0039612,-0.64,0.0448
-0.0039608,-0.64,0.0456
-0.0039604,-0.66,0.044
-0.00396,-0.64,0.0448
-0.0039596,-0.62,0.0456
-0.0039592,-0.64,0.0456
-0.0039588,-0.62,0.044
-0.0039584,-0.66,0.0448
-0.003958,-0.64,0.0448
-0.0039576,-0.66,0.0456
-0.0039572,-0.64,0.0448
-0.0039568,-0.64,0.0456
-0.0039564,-0.64,0.0448
-0.003956,-0.66,0.044
-0.0039556,-0.66,0.0456
-0.0039552,-0.66,0.0464
-0.0039548,-0.64,0.0464
-0.0039544,-0.64,0.0448
-0.003954,-0.64,0.044
-0.0039536,-0.66,0.0464
-0.0039532,-0.64,0.0456
-0.0039528,-0.66,0.0448
-0.0039524,-0.64,0.0448
-0.003952,-0.64,0.0448
-0.0039516,-0.66,0.0448
-0.0039512,-0.64,0.0448
-0.0039508,-0.62,0.0448
-0.0039504,-0.66,0.044
-0.00395,-0.64,0.0448
-0.0039496,-0.64,0.0448
-0.0039492,-0.66,0.044
-0.0039488,-0.64,0.0456
-0.0039484,-0.66,0.0464
-0.003948,-0.64,0.044
-0.0039476,-0.64,0.0448
-0.0039472,-0.66,0.0448
-0.0039468,-0.64,0.044
-0.0039464,-0.66,0.0448
-0.003946,-0.64,0.044
-0.0039456,-0.66,0.0448
-0.0039452,-0.64,0.0456
-0.0039448,-0.64,0.0456
-0.0039444,-0.66,0.0448
-0.003944,-0.64,0.0456
-0.0039436,-0.64,0.0456
-0.0039432,-0.66,0.044
-0.0039428,-0.64,0.044
-0.0039424,-0.66,0.0448
-0.003942,-0.64,0.0448
-0.0039416,-0.66,0.0448
-0.0039412,-0.64,0.0448
-0.0039408,-0.66,0.0456
-0.0039404,-0.66,0.0448
-0.00394,-0.66,0.0456
-0.0039396,-0.66,0.0456
-0.0039392,-0.64,0.044
-0.0039388,-0.66,0.044
-0.0039384,-0.68,0.0448
-0.003938,-0.64,0.0448
-0.0039376,-0.66,0.0456
-0.0039372,-0.66,0.0456
-0.0039368,-0.66,0.0464
-0.0039364,-0.66,0.0456
-0.003936,-0.68,0.0448
-0.0039356,-0.66,0.044
-0.0039352,-0.64,0.0448
-0.0039348,-0.66,0.0448
-0.0039344,-0.66,0.0448
-0.003934,-0.64,0.0448
-0.0039336,-0.66,0.044
-0.0039332,-0.66,0.0456
-0.0039328,-0.66,0.044
-0.0039324,-0.66,0.0456
-0.003932,-0.68,0.0448
-0.0039316,-0.66,0.0448
-0.0039312,-0.66,0.0448
-0.0039308,-0.68,0.0448
-0.0039304,-0.66,0.044
-0.00393,-0.66,0.0456
-0.0039296,-0.68,0.044
-0.0039292,-0.66,0.0448
-0.0039288,-0.68,0.0448
-0.0039284,-0.68,0.0456
-0.003928,-0.66,0.044
-0.0039276,-0.68,0.0456
-0.0039272,-0.66,0.044
-0.0039268,-0.68,0.0464
-0.0039264,-0.66,0.044
-0.003926,-0.66,0.0448
-0.0039256,-0.66,0.0456
-0.0039252,-0.66,0.0456
-0.0039248,-0.66,0.0448
-0.0039244,-0.66,0.044
-0.003924,-0.64,0.044
-0.0039236,-0.66,0.0448
-0.0039232,-0.64,0.0448
-0.0039228,-0.66,0.044
-0.0039224,-0.66,0.0448
-0.003922,-0.66,0.044
-0.0039216,-0.66,0.0448
-0.0039212,-0.66,0.0448
-0.0039208,-0.66,0.044
