         15485407 function calls (15255153 primitive calls) in 183.199 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   157271    0.082    0.000    0.082    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:82(__init__)
     7068    0.081    0.000    2.285    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:751(draw)
   635446    0.077    0.000    0.077    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:757(get_animated)
    12603    0.075    0.000    0.350    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:620(__init__)
    29891    0.073    0.000    0.117    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:660(__hash__)
    87416    0.073    0.000    0.123    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1683(__init__)
   133100    0.072    0.000    0.089    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:2147(_check_in_list)
   256987    0.070    0.000    0.848    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\numeric.py:469(asarray)
   130457    0.065    0.000    0.080    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:321(pchanged)
    99062    0.060    0.000    0.179    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:1382(_to_unmasked_float_array)
     9434    0.058    0.000    0.114    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1914(rotate)
     7900    0.057    0.000    0.807    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:692(set_clip_path)
    17042    0.057    0.000    0.398    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\markers.py:292(set_marker)
   405860    0.056    0.000    0.056    0.000 {method 'pop' of 'dict' objects}
    13509    0.056    0.000    0.126    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1145(set_linestyle)
    10281    0.055    0.000    1.314    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:121(__init__)
     1192    0.055    0.000    1.192    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\ticker.py:2016(_raw_ticks)
    65966    0.055    0.000    0.249    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:49(_stale_axes_callback)
   446511    0.054    0.000    0.054    0.000 {method 'items' of 'dict' objects}
17915/149    0.052    0.000   19.975    0.134 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:30(draw_wrapper)
   723650    0.051    0.000    0.051    0.000 {method 'append' of 'list' objects}
       75    0.050    0.001    0.557    0.007 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\collections.py:1335(set_segments)
    12678    0.049    0.000    0.056    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:776(set_weight)
    90950    0.048    0.000    0.907    0.000 {built-in method builtins.next}
    39081    0.048    0.000    0.132    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1819(__init__)
      298    0.048    0.000    0.910    0.003 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\legend.py:623(_findoffset)
    25331    0.044    0.000    0.044    0.000 {method 'getint' of '_tkinter.tkapp' objects}
