         2715317 function calls (2570908 primitive calls) in 2.384 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    65/23    0.000    0.000    0.005    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\os.py:278(walk)
       75    0.000    0.000    0.046    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\_datasource.py:578(open)
       75    0.000    0.000    0.003    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\_datasource.py:319(__init__)
      717    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       75    0.000    0.000    0.049    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\_datasource.py:228(open)
      225    0.000    0.000    0.001    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\ntpath.py:201(splitext)
      684    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     1350    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
     1360    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       75    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       50    0.000    0.000    0.000    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\type_check.py:282(iscomplexobj)
      450    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      300    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       75    0.000    0.000    0.003    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\ntpath.py:523(abspath)
      353    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFD1C3C4BA0}
      302    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       50    0.000    0.000    0.000    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:1321(WriteWrap)
      225    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      300    0.000    0.000    0.000    0.000 <string>:1(__new__)
       50    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
       25    0.000    0.000    0.000    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:768(_getconv)
       75    0.000    0.000    0.005    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\genericpath.py:16(exists)
      125    0.000    0.000    0.000    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\codecs.py:186(__init__)
