#Amplitude,#Vout,#Uncertainty
#Volts,#Volts,#Volts
0.005,0.036687,0.000002
0.01,0.073264,0.000003
0.015,0.109155,0.000004
0.02,0.14398,0.000005
0.025,0.17852,0.00001
0.03,0.2127,0.00001
0.035,0.24582,0.00001
0.04,0.27577,0.00001
0.045,0.30673,0.00001
0.05,0.33592,0.00001
0.055,0.36347,0.00001
0.06,0.38957,0.00001
0.065,0.41418,0.00001
0.07,0.43729,0.00001
0.075,0.45904,0.00001
