X,CH1,CH2,
Second,Volt,Volt,
-1.19e-02,-4.16e+00,4.00e-03
-1.19e-02,-4.16e+00,4.00e-03
-1.19e-02,-4.08e+00,4.00e-03
-1.18e-02,-4.08e+00,4.00e-03
-1.18e-02,-4.00e+00,4.00e-03
-1.17e-02,-4.00e+00,4.00e-03
-1.17e-02,-4.00e+00,3.20e-03
-1.17e-02,-4.00e+00,3.20e-03
-1.16e-02,-4.00e+00,3.20e-03
-1.16e-02,-4.00e+00,3.20e-03
-1.15e-02,-4.00e+00,2.40e-03
-1.15e-02,-3.92e+00,2.40e-03
-1.15e-02,-3.92e+00,2.40e-03
-1.14e-02,-3.92e+00,1.60e-03
-1.14e-02,-3.84e+00,1.60e-03
-1.13e-02,-3.84e+00,8.00e-04
-1.13e-02,-3.76e+00,8.00e-04
-1.13e-02,-3.68e+00,0.00e+00
-1.12e-02,-3.68e+00,0.00e+00
-1.12e-02,-3.68e+00,0.00e+00
-1.11e-02,-3.68e+00,0.00e+00
-1.11e-02,-3.68e+00,0.00e+00
-1.11e-02,-3.68e+00,0.00e+00
-1.10e-02,-3.68e+00,-8.00e-04
-1.10e-02,-3.60e+00,-8.00e-04
-1.09e-02,-3.60e+00,-1.60e-03
-1.09e-02,-3.60e+00,-8.00e-04
-1.09e-02,-3.52e+00,-1.60e-03
-1.08e-02,-3.44e+00,-2.40e-03
-1.08e-02,-3.44e+00,-2.40e-03
-1.07e-02,-3.44e+00,-2.40e-03
-1.07e-02,-3.44e+00,-2.40e-03
-1.07e-02,-3.36e+00,-3.20e-03
-1.06e-02,-3.36e+00,-3.20e-03
-1.06e-02,-3.36e+00,-3.20e-03
-1.05e-02,-3.36e+00,-3.20e-03
-1.05e-02,-3.36e+00,-4.00e-03
-1.05e-02,-3.28e+00,-4.80e-03
-1.04e-02,-3.28e+00,-5.60e-03
-1.04e-02,-3.20e+00,-4.80e-03
-1.03e-02,-3.20e+00,-4.80e-03
-1.03e-02,-3.20e+00,-5.60e-03
-1.03e-02,-3.12e+00,-5.60e-03
-1.02e-02,-3.12e+00,-5.60e-03
-1.02e-02,-3.12e+00,-5.60e-03
-1.01e-02,-3.12e+00,-5.60e-03
-1.01e-02,-3.12e+00,-6.40e-03
-1.01e-02,-3.04e+00,-6.40e-03
-1.00e-02,-3.04e+00,-7.20e-03
-9.99e-03,-2.96e+00,-6.40e-03
-9.95e-03,-2.96e+00,-6.40e-03
-9.91e-03,-2.96e+00,-8.00e-03
-9.87e-03,-2.96e+00,-8.00e-03
-9.83e-03,-2.88e+00,-8.00e-03
-9.79e-03,-2.88e+00,-8.00e-03
-9.75e-03,-2.88e+00,-8.00e-03
-9.71e-03,-2.80e+00,-8.00e-03
-9.67e-03,-2.80e+00,-8.00e-03
-9.63e-03,-2.80e+00,-8.80e-03
-9.59e-03,-2.80e+00,-8.80e-03
-9.55e-03,-2.80e+00,-8.80e-03
-9.51e-03,-2.80e+00,-9.60e-03
-9.47e-03,-2.80e+00,-9.60e-03
-9.43e-03,-2.72e+00,-9.60e-03
-9.39e-03,-2.72e+00,-9.60e-03
-9.35e-03,-2.72e+00,-9.60e-03
-9.31e-03,-2.72e+00,-9.60e-03
-9.27e-03,-2.72e+00,-1.04e-02
-9.23e-03,-2.72e+00,-1.12e-02
-9.19e-03,-2.64e+00,-1.04e-02
-9.15e-03,-2.64e+00,-1.04e-02
-9.11e-03,-2.64e+00,-1.04e-02
-9.07e-03,-2.64e+00,-1.12e-02
-9.03e-03,-2.56e+00,-1.12e-02
-8.99e-03,-2.56e+00,-1.12e-02
-8.95e-03,-2.64e+00,-1.12e-02
-8.91e-03,-2.56e+00,-1.12e-02
-8.87e-03,-2.56e+00,-1.12e-02
-8.83e-03,-2.56e+00,-1.12e-02
-8.79e-03,-2.56e+00,-1.12e-02
-8.75e-03,-2.56e+00,-1.12e-02
-8.71e-03,-2.56e+00,-1.12e-02
-8.67e-03,-2.56e+00,-1.12e-02
-8.63e-03,-2.56e+00,-1.12e-02
-8.59e-03,-2.56e+00,-1.12e-02
-8.55e-03,-2.56e+00,-1.12e-02
-8.51e-03,-2.56e+00,-1.12e-02
-8.47e-03,-2.56e+00,-1.12e-02
-8.43e-03,-2.56e+00,-1.12e-02
-8.39e-03,-2.56e+00,-1.12e-02
-8.35e-03,-2.56e+00,-1.12e-02
-8.31e-03,-2.56e+00,-1.12e-02
-8.27e-03,-2.56e+00,-1.12e-02
-8.23e-03,-2.56e+00,-1.12e-02
-8.19e-03,-2.56e+00,-1.12e-02
-8.15e-03,-2.56e+00,-1.12e-02
-8.11e-03,-2.56e+00,-1.12e-02
-8.07e-03,-2.56e+00,-1.12e-02
-8.03e-03,-2.56e+00,-1.12e-02
-7.99e-03,-2.56e+00,-1.12e-02
-7.95e-03,-2.56e+00,-1.12e-02
-7.91e-03,-2.56e+00,-1.12e-02
-7.87e-03,-2.64e+00,-1.12e-02
-7.83e-03,-2.64e+00,-1.04e-02
-7.79e-03,-2.64e+00,-1.04e-02
-7.75e-03,-2.64e+00,-1.12e-02
-7.71e-03,-2.64e+00,-1.04e-02
-7.67e-03,-2.64e+00,-1.12e-02
-7.63e-03,-2.64e+00,-1.04e-02
-7.59e-03,-2.64e+00,-1.04e-02
-7.55e-03,-2.72e+00,-1.04e-02
-7.51e-03,-2.72e+00,-9.60e-03
-7.47e-03,-2.72e+00,-9.60e-03
-7.43e-03,-2.80e+00,-1.04e-02
-7.39e-03,-2.80e+00,-9.60e-03
-7.35e-03,-2.80e+00,-9.60e-03
