X,CH1
Second,Volt,
-2.50e-03,-6.00e-02
-2.49e-03,-1.00e-01
-2.49e-03,-1.40e-01
-2.48e-03,-1.60e-01
-2.48e-03,-1.60e-01
-2.48e-03,-1.80e-01
-2.47e-03,-2.00e-01
-2.47e-03,-2.40e-01
-2.46e-03,-2.60e-01
-2.46e-03,-3.20e-01
-2.46e-03,-3.20e-01
-2.45e-03,-3.40e-01
-2.45e-03,-3.60e-01
-2.44e-03,-4.00e-01
-2.44e-03,-3.80e-01
-2.44e-03,-4.40e-01
-2.43e-03,-4.60e-01
-2.43e-03,-5.00e-01
-2.42e-03,-4.60e-01
-2.42e-03,-5.00e-01
-2.42e-03,-5.60e-01
-2.41e-03,-5.60e-01
-2.41e-03,-5.60e-01
-2.40e-03,-6.00e-01
-2.40e-03,-6.20e-01
-2.40e-03,-6.60e-01
-2.39e-03,-6.60e-01
-2.39e-03,-7.00e-01
-2.38e-03,-6.60e-01
-2.38e-03,-7.00e-01
-2.38e-03,-7.60e-01
-2.37e-03,-8.00e-01
-2.37e-03,-7.80e-01
-2.36e-03,-7.60e-01
-2.36e-03,-7.80e-01
-2.36e-03,-8.00e-01
-2.35e-03,-8.40e-01
-2.35e-03,-8.40e-01
-2.34e-03,-8.60e-01
-2.34e-03,-8.60e-01
-2.34e-03,-8.60e-01
-2.33e-03,-9.00e-01
-2.33e-03,-9.20e-01
-2.32e-03,-8.80e-01
-2.32e-03,-9.20e-01
-2.32e-03,-9.00e-01
-2.31e-03,-9.40e-01
-2.31e-03,-9.60e-01
-2.30e-03,-9.80e-01
-2.30e-03,-9.40e-01
-2.30e-03,-9.60e-01
-2.29e-03,-9.60e-01
-2.29e-03,-9.40e-01
-2.28e-03,-9.80e-01
-2.28e-03,-1.04e+00
-2.28e-03,-1.00e+00
-2.27e-03,-1.02e+00
-2.27e-03,-9.80e-01
-2.26e-03,-1.00e+00
-2.26e-03,-1.02e+00
-2.26e-03,-9.60e-01
-2.25e-03,-9.80e-01
-2.25e-03,-9.80e-01
-2.24e-03,-1.00e+00
-2.24e-03,-9.80e-01
-2.24e-03,-9.80e-01
-2.23e-03,-9.40e-01
-2.23e-03,-9.80e-01
-2.22e-03,-9.60e-01
-2.22e-03,-9.80e-01
-2.22e-03,-9.80e-01
-2.21e-03,-9.40e-01
-2.21e-03,-9.40e-01
-2.20e-03,-9.60e-01
-2.20e-03,-9.40e-01
-2.20e-03,-9.00e-01
-2.19e-03,-9.00e-01
