         51384866 function calls (51301263 primitive calls) in 294.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6476    0.002    0.000    0.008    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:1462(get)
     1670    0.002    0.000    0.005    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:981(_normalize_font_family)
       10    0.002    0.000    0.002    0.000 {built-in method nt.stat}
      259    0.002    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\path.py:204(_update_values)
      430    0.002    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:979(update_from)
      321    0.002    0.000    0.008    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\text.py:136(__init__)
     3470    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      962    0.002    0.000    0.009    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:1902(__init__)
      694    0.002    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\numeric.py:2460(seterr)
    14505    0.002    0.000    0.002    0.000 {built-in method builtins.id}
      369    0.002    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:835(set_weight)
      575    0.001    0.000    0.009    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:2058(scale)
      964    0.001    0.000    0.008    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1934(any)
      460    0.001    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\lines.py:1053(set_linestyle)
       46    0.001    0.000    0.002    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      920    0.001    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\lines.py:1021(_split_drawstyle_linestyle)
      684    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.zeros}
